Assembly	BioSample	Organism	Submitter	SeqTech	SubmissionDate	SubmissionYear	IsolationSource	GeoLocName	CollectionDate	Host	RefSeq_Accession	RefSeq_Present	SetID
GCA_037629755.1	SAMN39992654	Klebsiella pneumoniae	WRAIR-Africa	Illumina	2024-02-20T08:12:06.556	2024	Wound/skin swab	Kenya: Kisumu	26-03-2019	Homo sapiens	GCF_037629755.1	Yes	SET_2483
GCA_900549685.1	SAMEA4891848	uncultured Alistipes sp.	EBI	Illumina	2019-01-28T10:10:36.110	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_2485
GCA_902481745.1	SAMEA5852523	uncultured Alistipes sp.	EMG	Illumina	2019-08-07T10:18:43.273	2019	human gut	China	_NA_	_NA_	na	No	SET_2485
GCA_004570915.1	SAMN11126852	Ligilactobacillus murinus	King's College London	Illumina HiSeq	2019-03-14T11:44:05.133	2019	oral swab	United Kingdom	2012	Mus musculus C3H/Orl	GCF_004570915.1	Yes	SET_2486
GCA_015235015.1	SAMN16540207	Ligilactobacillus murinus	King's College London	Illumina HiSeq	2020-10-25T11:51:04.936	2020	Oral	United Kingdom	2012	Mus musculus	GCF_015235015.1	Yes	SET_2486
GCA_035398225.1	SAMN32865083	Candidatus Cloacimonas sp.	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:07.243	2023	Activated sludge of municipal wastewater treatment plants	USA	09-03-2015	_NA_	na	No	SET_2487
GCA_036739335.1	SAMN28746725	Candidatus Cloacimonadota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T04:53:37.510	2022	sludge	USA	09-03-2015	_NA_	na	No	SET_2487
GCA_035396165.1	SAMN32865191	Paludibacteraceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.237	2023	Activated sludge of municipal wastewater treatment plants	Japan	20-04-2015	_NA_	na	No	SET_249
GCA_036835805.1	SAMN28750959	Paludibacteraceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:35:37.016	2022	sludge	Japan	20-04-2015	_NA_	na	No	SET_249
GCA_001937955.1	SAMN05905558	Listeria monocytogenes	LAU	Illumina MiSeq	2016-10-13T07:55:02.640	2016	_NA_	Lebanon	06-08-2016	Homo sapiens	GCF_001937955.1	Yes	SET_2490
GCA_003057495.1	SAMN08723037	Listeria monocytogenes	Lebanese American University	Illumina MiSeq	2018-03-16T10:02:03.273	2018	Lebanon	Lebanon	2016-03	Homo sapiens	GCF_003057495.1	Yes	SET_2490
GCA_900759775.1	SAMEA5279072	Veillonellaceae bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:16:08.950	2019	human stool	USA	01-01-2018	_NA_	GCF_900759775.1	Yes	SET_2491
GCA_902483495.1	SAMEA5852703	uncultured Veillonella sp.	EMG	Illumina	2019-08-07T10:18:49.273	2019	human gut	USA	_NA_	_NA_	na	No	SET_2491
GCA_020685505.1	SAMN22560246	Campylobacter coli	Instituto Nacional de Salud del Peru	Illumina MiSeq	2021-10-25T10:04:05.140	2021	stool	Peru: Lima	2015	Homo sapiens	GCF_020685505.1	Yes	SET_2493
GCA_022128045.1	SAMN18698543	Campylobacter coli	Instituto Nacional de Salud	Illumina MiSeq	2021-04-10T12:04:06.167	2021	stool	Peru:Lima	2015	Homo sapiens	GCF_022128045.1	Yes	SET_2493
GCA_003278815.1	SAMN08886182	SAR86 cluster bacterium AG-349-I13	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:12.477	2018	single cell amplified by WGA-X; seawater	Pacific Ocean	19-08-2009	_NA_	na	No	SET_2494
GCA_902536835.1	SAMEA6075225	uncultured SAR86 cluster bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T16:11:02.943	2019	marine water	_NA_	19-08-2009	_NA_	na	No	SET_2494
GCA_003003775.1	SAMN08617403	Merismopedia glauca CCAP 1448/3	Massachusetts Institute of Technology	Illumina MiSeq	2018-02-27T13:40:06.566	2018	freshwater	Norway: freshwater in Svalbard	1982	_NA_	GCF_003003775.1	Yes	SET_2496
GCA_963876965.1	SAMEA115017635	Merismopedia glauca CCAP 1448/3	Nanjing Agriculture University	not collected	2024-03-02T10:03:41.080	2024	_NA_	not collected	not collected	_NA_	GCF_963876965.1	Yes	SET_2496
GCA_008830165.1	SAMN12839020	Bordetella bronchiseptica	Sichuan Agricultural University	Illumina NovaSeq	2019-09-25T08:29:10.733	2019	Nasal mucus	China	2019-01	Moschus berezovskii	GCF_008830165.1	Yes	SET_2498
GCA_008830705.1	SAMN12869734	Bordetella bronchiseptica	Sichuan agricultural university	Illumina NovaSeq	2019-09-29T09:39:03.660	2019	Nasal mucus	China:Chengdu	2019-09	forest musk deer	GCF_008830705.1	Yes	SET_2498
GCA_902487025.1	SAMEA5853068	uncultured Christensenellaceae bacterium	EMG	Illumina	2019-08-07T10:19:00.696	2019	human gut	not provided	_NA_	_NA_	na	No	SET_2499
GCA_900769855.1	SAMEA5278961	Clostridia bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:14:46.650	2019	human stool	Fiji	01-01-2018	_NA_	na	No	SET_2499
GCA_002632875.1	SAMN05375104	Xenorhabdus kozodoii	Goethe University	Illumina	2016-07-12T02:46:02.313	2016	_NA_	Russia: Voronez	Missing	Steinernema arenarium	GCF_002632875.1	Yes	SET_25
GCA_963876105.1	SAMEA115017548	Xenorhabdus kozodoii	Nanjing Agriculture University	not collected	2024-03-02T10:03:39.122	2024	_NA_	not collected	not collected	_NA_	GCF_963876105.1	Yes	SET_25
GCA_013693985.1	SAMN15547713	Escherichia coli K-12	Seoul National University	Illumina MiSeq	2020-07-16T04:46:05.370	2020	Oral Lichen Planus biopsy from patient	South Korea	2016	Homo sapiens	GCF_013693985.1	Yes	SET_2500
GCA_016106075.1	SAMN15396345	Escherichia coli K-12	Seoul National University	Illumina MiSeq	2020-06-29T07:24:05.270	2020	oral lichen planus biopsy	South Korea	2016	Homo sapiens	GCF_016106075.1	Yes	SET_2500
GCA_003213435.1	SAMN08886439	OCS155 cluster bacterium AG-422-P13	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:17.130	2018	single cell amplified by WGA-X; seawater	Atlantic Ocean	24-10-2010	_NA_	na	No	SET_2502
GCA_902575115.1	SAMEA6076402	uncultured Candidatus Actinomarina sp.	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T16:11:37.663	2019	marine water	_NA_	24-10-2010	_NA_	na	No	SET_2502
GCA_015272955.1	SAMN15665317	Staphylococcus aureus	University of Queensland	Illumina NextSeq	2020-07-29T03:02:06.897	2020	skin swab1641 from squamous cell carcinomas patient MST029	Australia: Brisbane	28-04-2017	Homo sapiens	GCF_015272955.1	Yes	SET_2503
GCA_022396195.1	SAMN21365191	Staphylococcus aureus	University of Queensland	Illumina NextSeq	2021-09-09T01:20:09.483	2021	skin swab	Australia: Brisbane	2018	Homo sapiens	GCF_022396195.1	Yes	SET_2503
GCA_023534385.1	SAMN27592189	Escherichia coli	Zhejiang Academy of Agricultural Sciences	Illumina HiSeq	2022-04-14T22:43:04.072	2022	_NA_	China:Zhejiang	2020	chicken	GCF_023534385.1	Yes	SET_2504
GCA_023535105.1	SAMN27409186	Escherichia coli	Zhejiang Academy of Agricultural Sciences	Illumina HiSeq	2022-04-07T23:53:04.475	2022	_NA_	China:Zhejiang	2020	chicken	GCF_023535105.1	Yes	SET_2504
GCA_014163665.1	SAMN15642187	Aliivibrio sp. SR45-2	University of Alaska Fairbanks	Illumina MiSeq	2020-07-24T20:41:09.260	2020	surface seawater	USA: Chesapeake Bay, Maryland	24-01-2018	_NA_	GCF_014163665.1	Yes	SET_2506
GCA_963890165.1	SAMEA115018287	Aliivibrio sp. SR45-2	Nanjing Agriculture University	not collected	2024-03-02T10:04:09.822	2024	_NA_	not collected	not collected	_NA_	GCF_963890165.1	Yes	SET_2506
GCA_003050425.1	SAMN08099555	Vibrio splendidus	Station Biologique Roscoff (CNRS/UMPC)	Illumina HiSeq	2017-11-26T18:59:04.710	2017	Filtered seawater (5uM filter)	USA: Plum Island, MA	28-04-2006	_NA_	GCF_003050425.1	Yes	SET_2507
GCA_963878275.1	SAMEA115017671	Vibrio splendidus	Nanjing Agriculture University	not collected	2024-03-02T10:03:46.841	2024	_NA_	not collected	not collected	_NA_	GCF_963878275.1	Yes	SET_2507
GCA_001956895.1	SAMN05860611	Tessaracoccus sp. ZS01	University of Huddersfield	Illumina HiSeq; Illumina MiSeq	2016-10-04T06:25:02.103	2016	Bioreactor	United Kingdom: Huddersfield	2015-04	_NA_	GCF_001956895.1	Yes	SET_2508
GCA_022342445.1	SAMN08399355	Tessaracoccus sp. ZS01	University of Huddersfield	Illumina	2018-01-26T09:45:05.577	2018	_NA_	United Kingdom	2017	_NA_	GCF_022342445.1	Yes	SET_2508
GCA_003215175.1	SAMN08886381	Acidimicrobiales bacterium AG-410-I20	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:16.097	2018	single cell amplified by WGA-X; seawater	Atlantic Ocean	28-06-2010	_NA_	na	No	SET_2509
GCA_902565755.1	SAMEA6076107	Actinomycetota bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T16:11:28.943	2019	marine water	_NA_	28-06-2010	_NA_	GCF_902565755.1	Yes	SET_2509
GCA_013415225.1	SAMN15420193	Providencia alcalifaciens	King's College London	Illumina HiSeq	2020-07-01T17:42:03.956	2020	Oral	United Kingdom	2019	Mus musculus	GCF_013415225.1	Yes	SET_251
GCA_015234555.1	SAMN16540228	Providencia alcalifaciens	King's College London	Illumina HiSeq	2020-10-25T11:51:05.510	2020	Oral	United Kingdom	2019	Mus musculus	GCF_015234555.1	Yes	SET_251
GCA_963889575.1	SAMEA115018271	Providencia alcalifaciens	Nanjing Agriculture University	not collected	2024-03-02T10:04:09.384	2024	_NA_	not collected	not collected	_NA_	GCF_963889575.1	Yes	SET_251
GCA_900541925.1	SAMEA4891078	uncultured Bacteroidales bacterium	EBI	Illumina	2019-02-08T12:13:05.836	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_2511
GCA_902480735.1	SAMEA5852427	uncultured Bacteroidales bacterium	EMG	Illumina	2019-08-07T10:18:40.260	2019	human gut	USA	_NA_	_NA_	na	No	SET_2511
GCA_003216235.1	SAMN08886341	Pelagibacteraceae bacterium AG-404-P07	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:15.380	2018	single cell amplified by WGA-X; seawater	Pacific Ocean	04-11-2009	_NA_	na	No	SET_2514
GCA_902564395.1	SAMEA6075568	uncultured Pelagibacteraceae bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T16:11:12.256	2019	marine water	_NA_	04-11-2009	_NA_	na	No	SET_2514
GCA_003989145.1	SAMN08173719	Aeromonas dhakensis	CIAD, A.C.	Illumina Miniseq	2017-12-13T16:39:04.753	2017	Injured eye	Mexico: Sanalona dam, Culiacan	11-03-2009	Oreochromis niloticus (tilapia)	GCF_003989145.1	Yes	SET_2518
GCA_963880855.1	SAMEA115017805	Aeromonas dhakensis	Nanjing Agriculture University	not collected	2024-03-02T10:03:49.009	2024	_NA_	not collected	not collected	_NA_	GCF_963880855.1	Yes	SET_2518
GCA_006376225.1	SAMN11980277	Enterococcus faecium	UCIBIO/REQUIMTE. Faculdade de Farmacia. Universidade do Porto.	Illumina HiSeq	2019-06-08T06:05:05.873	2019	bovine meat 2	Tunisia: Tunis	2016	Missing	GCF_006376225.1	Yes	SET_2519
GCA_023006615.1	SAMN25270790	Enterococcus faecium	Faculdade de Farmacia, Universidad do Porto	Illumina MiSeq	2022-01-26T05:37:04.377	2022	Bovine meat	Tunisia: Tunis	2016	bovine	GCF_023006615.1	Yes	SET_2519
GCA_900763865.1	SAMEA5279818	Christensenellaceae bacterium	DOE JGI	Illumina HiSeq 4000	2019-02-01T10:25:42.300	2019	human stool	China	01-01-2018	_NA_	na	No	SET_2520
GCA_902484515.1	SAMEA5852810	uncultured Eubacteriales bacterium	EMG	Illumina	2019-08-07T10:18:52.570	2019	human gut	China	_NA_	_NA_	na	No	SET_2520
GCA_945830795.1	SAMEA110360274	uncultured Clostridia bacterium	EMG	NextSeq 500	2022-07-15T08:11:13.576	2022	pig gut metagenome	Germany	01-08-2016	_NA_	na	No	SET_2521
GCA_945866205.1	SAMEA110402017	uncultured Clostridia bacterium	EMG	NextSeq 500	2022-07-22T13:12:48.313	2022	pig gut metagenome	Germany	01-08-2016	_NA_	na	No	SET_2521
GCA_000741205.1	SAMN02673434	Bifidobacterium gallicum DSM 20093 = LMG 11596	University of Parma	Ion Torrent	2014-03-05T15:00:53.726	2014	Adult intestine	Missing	Missing	Homo sapiens	GCF_000741205.1	Yes	SET_2525
GCA_902375315.1	SAMEA5850974	Bifidobacterium gallicum	EMG	Illumina	2019-08-07T10:17:53.976	2019	human gut	not provided	_NA_	_NA_	GCF_902375315.1	Yes	SET_2525
GCA_035441625.1	SAMN32867630	Saprospiraceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T12:45:09.820	2023	Aquaculture farm sediments	Hong Kong	Missing	_NA_	na	No	SET_2527
GCA_036758405.1	SAMN28747591	Saprospiraceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:28:36.486	2022	sediment; sludge; water	Missing	Missing	_NA_	na	No	SET_2527
GCA_902487755.1	SAMEA5853141	uncultured Veillonellaceae bacterium	EMG	Illumina	2019-08-07T10:19:03.180	2019	human gut	not provided	_NA_	_NA_	na	No	SET_253
GCA_900771155.1	SAMEA5279983	Acidaminococcaceae bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:27:59.403	2019	human stool	Fiji	01-01-2018	_NA_	na	No	SET_253
GCA_900770655.1	SAMEA5278214	Bacteroidaceae bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:04:50.920	2019	human stool	Fiji	01-01-2018	_NA_	GCF_900770655.1	Yes	SET_2530
GCA_902487535.1	SAMEA5853113	uncultured Bacteroidales bacterium	EMG	Illumina	2019-08-07T10:19:02.290	2019	human gut	not provided	_NA_	_NA_	na	No	SET_2530
GCA_900538875.1	SAMEA4890774	uncultured Bifidobacterium sp.	EBI	Illumina	2019-01-28T10:01:08.483	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_2533
GCA_902482145.1	SAMEA5852574	uncultured Bifidobacterium sp.	EMG	Illumina	2019-08-07T10:18:44.836	2019	human gut	China	_NA_	_NA_	na	No	SET_2533
GCA_003212775.1	SAMN08886490	Pelagibacteraceae bacterium AG-435-N18	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:18.170	2018	single cell amplified by WGA-X; seawater	Atlantic Ocean	04-12-2011	_NA_	na	No	SET_2534
GCA_902587705.1	SAMEA6080175	uncultured Pelagibacteraceae bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T18:20:04.026	2019	marine water	_NA_	04-12-2011	_NA_	na	No	SET_2534
GCA_949516195.1	SAMEA112730909	uncultured Muribaculum sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:26.623	2023	mouse gut metagenome	USA	15-01-2018	_NA_	na	No	SET_2535
GCA_949541215.1	SAMEA112731119	uncultured Muribaculum sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:33.826	2023	mouse gut metagenome	USA	15-01-2018	_NA_	na	No	SET_2535
GCA_034106505.1	SAMN37357809	Enterobacter cloacae subsp. cloacae	Faculte de Medecine, Universite Paris-Sud	Illumina NextSeq	2023-09-12T07:58:04.783	2023	_NA_	France	2020	Homo sapiens	GCF_034106505.1	Yes	SET_2536
GCA_036231925.1	SAMN37357737	Enterobacter cloacae subsp. cloacae	Faculte de Medecine, Universite Paris-Sud	Illumina NextSeq	2023-09-12T07:58:04.093	2023	_NA_	France	2015	Homo sapiens	GCF_036231925.1	Yes	SET_2536
GCA_004331795.1	SAMN10963436	Erythrobacteraceae bacterium CFH 75059	Henan Normal University	Illumina	2019-02-18T22:48:03.980	2019	hot spring	China: Yunnan Province	15-11-2018	_NA_	GCF_004331795.1	Yes	SET_2537
GCA_004153605.1	SAMN10797289	Qipengyuania thermophila	Xinxiang Medical University	Illumina	2019-01-24T00:40:04.330	2019	hot spring sediment	China:Yunnan	01-10-2017	_NA_	GCF_004153605.1	Yes	SET_2537
GCA_020053455.1	SAMN18076940	Pseudomonadota bacterium	Northwestern University	Illumina HiSeq 2500	2021-02-26T16:21:08.280	2021	fracture fluid	USA: Sanford Underground Research Facility, Lead SD, Deep Mine Microbial Observatory (DeMMO)	2018-04	_NA_	na	No	SET_2538
GCA_020060725.1	SAMN18076587	Pseudomonadota bacterium	Northwestern University	Illumina HiSeq 2500	2021-02-26T16:20:08.683	2021	fracture fluid	USA: Sanford Underground Research Facility, Lead SD, Deep Mine Microbial Observatory (DeMMO)	2018-04	_NA_	na	No	SET_2538
GCA_900542275.1	SAMEA4891113	uncultured Collinsella sp.	EBI	Illumina	2019-02-08T12:13:06.133	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_2540
GCA_902481135.1	SAMEA5852466	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:41.430	2019	human gut	China	_NA_	_NA_	na	No	SET_2540
GCA_031964195.1	SAMN36531532	Acutalibacter sp.	Brown University	Illumina HiSeq	2023-07-18T19:14:06.567	2023	cecum	USA: Rhode Island	2020-08	Mus musculus	na	No	SET_2541
GCA_031964275.1	SAMN36531529	Oscillibacter sp.	Brown University	Illumina HiSeq	2023-07-18T19:14:06.540	2023	cecum	USA: Rhode Island	2020-08	Mus musculus	na	No	SET_2541
GCA_035398325.1	SAMN32865078	Bacteroidales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:07.197	2023	Activated sludge of municipal wastewater treatment plants	USA	09-03-2015	_NA_	na	No	SET_2542
GCA_036827205.1	SAMN28750824	Bacteroidales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:28:37.443	2022	sludge	USA	09-03-2015	_NA_	na	No	SET_2542
GCA_000381365.1	SAMN02596943	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	Broad Institute	Illumina	2014-01-27T09:48:59.750	2014	_NA_	_NA_	_NA_	_NA_	GCF_000381365.1	Yes	SET_2544
GCA_902374995.1	SAMEA5850936	Bacteroides salyersiae	EMG	Illumina	2019-08-07T10:17:52.930	2019	human gut	not provided	_NA_	_NA_	GCF_902374995.1	Yes	SET_2544
GCA_900545745.1	SAMEA4891456	uncultured Collinsella sp.	EBI	Illumina	2019-02-08T12:13:08.836	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_2545
GCA_902480115.1	SAMEA5852370	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:38.370	2019	human gut	USA	_NA_	_NA_	na	No	SET_2545
GCA_001729085.1	SAMN05179245	Aeromonas sp. ANP5	Instituto de Ecologia	Illumina MiSeq	2016-05-26T11:46:02.253	2016	pond water enriched with phosphorus and nitrogen	Mexico: Coahuila, Cuatro Cienegas	14-05-2011	_NA_	GCF_001729085.1	Yes	SET_2547
GCA_963870295.1	SAMEA115017335	Aeromonas sp. ANP5	Nanjing Agriculture University	not collected	2024-03-02T10:03:33.685	2024	_NA_	Mexico	not collected	_NA_	GCF_963870295.1	Yes	SET_2547
GCA_008692525.1	SAMN10316132	Candidatus Enterovibrio escicola	DEEPEND Consortium	Illumina HiSeq	2018-10-25T17:13:05.460	2018	total DNA from escal light organ	Atlantic Ocean	13-11-1999	Melanocetus johnsonii	GCF_008692525.1	Yes	SET_2548
GCA_963885825.1	SAMEA115018076	Candidatus Enterovibrio escicola	Nanjing Agriculture University	not collected	2024-03-02T10:04:04.590	2024	_NA_	not collected	not collected	_NA_	GCF_963885825.1	Yes	SET_2548
GCA_035393415.1	SAMN32865329	Candidatus Aminicenantota bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:09.606	2023	Activated sludge of municipal wastewater treatment plants	USA	07-01-2015	_NA_	na	No	SET_255
GCA_036800025.1	SAMN28749550	Candidatus Aminicenantota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:00:47.176	2022	sludge	USA	07-01-2015	_NA_	na	No	SET_255
GCA_900018365.1	SAMN03992719	Apibacter mensalis	DOE - Joint Genome Institute	Illumina HiSeq 2500,Illumina HiSeq 2500-1TB	2015-08-14T05:28:07.000	2015	Missing	Missing	not collected	_NA_	GCF_900018365.1	Yes	SET_2550
GCA_001418685.1	SAMN03992719	Apibacter mensalis	Joint Genome Institute	Illumina HiSeq 2500-1TB	2015-08-14T05:28:07.000	2015	Missing	Missing	not collected	_NA_	GCF_001418685.1	Yes	SET_2550
GCA_002741955.1	SAMN05853039	Staphylococcus aureus	University of Colorado	Illumina MiSeq	2016-09-29T14:57:05.120	2016	blood	USA: Denver	27-11-2012	Homo sapiens	GCF_002741955.1	Yes	SET_2552
GCA_002982755.1	SAMN07811210	Staphylococcus aureus	University of Colorado	Miseq	2017-10-18T18:39:03.950	2017	blood	USA: Denver, CO	27-11-2012	Homo sapiens	GCF_002982755.1	Yes	SET_2552
GCA_035393485.1	SAMN32865325	Spirochaetales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:09.567	2023	Activated sludge of municipal wastewater treatment plants	USA	07-01-2015	_NA_	na	No	SET_2553
GCA_036825315.1	SAMN28750819	Spirochaetales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:28:37.390	2022	sludge	USA	07-01-2015	_NA_	na	No	SET_2553
GCA_003432465.1	SAMN09770288	Aeromonas dhakensis	Sun Yat-sen University	Illumina HiSeq	2018-08-07T02:48:04.696	2018	blood	China	17-04-2017	Homo sapiens	GCF_003432465.1	Yes	SET_2557
GCA_963880155.1	SAMEA115017758	Aeromonas dhakensis	Nanjing Agriculture University	not collected	2024-03-02T10:03:48.245	2024	_NA_	not collected	not collected	_NA_	GCF_963880155.1	Yes	SET_2557
GCA_900770345.1	SAMEA5279383	Lachnospiraceae bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:20:19.916	2019	human stool	Fiji	01-01-2018	_NA_	GCF_900770345.1	Yes	SET_2558
GCA_902487345.1	SAMEA5853099	uncultured Clostridium sp.	EMG	Illumina	2019-08-07T10:19:01.743	2019	human gut	not provided	_NA_	_NA_	na	No	SET_2558
GCA_949487085.1	SAMEA112731286	uncultured Acetatifactor sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:39.780	2023	mouse gut metagenome	USA	15-01-2018	_NA_	na	No	SET_256
GCA_949550615.1	SAMEA112730790	uncultured Acetatifactor sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:23.506	2023	mouse gut metagenome	USA	15-01-2018	_NA_	na	No	SET_256
GCA_014076795.1	SAMN15641046	Colwellia sp. MB3u-28	University of Alaska Fairbanks	Illumina MiSeq	2020-07-24T15:56:07.833	2020	bottom of first year landfast sea ice	USA: Point Barrow, Alaska	12-04-2016	_NA_	GCF_014076795.1	Yes	SET_2561
GCA_963890185.1	SAMEA115018274	Colwellia sp. MB3u-28	Nanjing Agriculture University	not collected	2024-03-02T10:04:09.521	2024	_NA_	not collected	not collected	_NA_	GCF_963890185.1	Yes	SET_2561
GCA_900760055.1	SAMEA5278979	Opitutales bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:14:59.890	2019	human stool	USA	01-01-2018	_NA_	GCF_900760055.1	Yes	SET_2562
GCA_902483565.1	SAMEA5852711	uncultured Opitutia bacterium	EMG	Illumina	2019-08-07T10:18:49.510	2019	human gut	USA	_NA_	_NA_	na	No	SET_2562
GCA_003050545.1	SAMN08099550	Vibrio splendidus	Station Biologique Roscoff (CNRS/UMPC)	Illumina HiSeq	2017-11-26T18:59:04.640	2017	Filtered seawater (1uM filter)	USA: Plum Island, MA	28-04-2006	_NA_	GCF_003050545.1	Yes	SET_2563
GCA_963878795.1	SAMEA115017674	Vibrio splendidus	Nanjing Agriculture University	not collected	2024-03-02T10:03:46.890	2024	_NA_	not collected	not collected	_NA_	GCF_963878795.1	Yes	SET_2563
GCA_003547055.1	SAMN08120384	Burkholderia pseudomallei	Universiti Kebangsaan Malaysia	PacBio	2017-12-02T05:22:03.763	2017	Institute for Medical Research, Kuala Lumpur	Malaysia	2000	Homo sapiens	GCF_003547055.1	Yes	SET_2564
GCA_902141835.1	SAMEA5606428	Burkholderia pseudomallei	MALAYSIA GENOME INSTITUTE	PACBIO	2020-04-18T17:19:18.376	2020	_NA_	_NA_	_NA_	_NA_	GCF_902141835.1	Yes	SET_2564
GCA_963993185.1	SAMEA115401577	Mycobacterium tuberculosis	Swiss Tropical and Public Health Institute	Sequel II	2024-03-18T10:00:22.043	2024	_NA_	Switzerland	1993	_NA_	GCF_963993185.1	Yes	SET_2565
GCA_963993275.1	SAMEA115401576	Mycobacterium tuberculosis	Swiss Tropical and Public Health Institute	Sequel II	2024-03-18T10:00:22.023	2024	_NA_	Switzerland	1998	_NA_	GCF_963993275.1	Yes	SET_2565
GCA_009915225.1	SAMN13870615	Proteus sp. G4398	nankai university	Illumina GAIIx	2020-01-15T21:55:03.786	2020	Missing	Missing	Missing	_NA_	GCF_009915225.1	Yes	SET_2566
GCA_963886895.1	SAMEA115018134	Proteus sp. G4398	Nanjing Agriculture University	not collected	2024-03-02T10:04:05.692	2024	_NA_	not collected	not collected	_NA_	GCF_963886895.1	Yes	SET_2566
GCA_900545875.1	SAMEA4891467	uncultured Collinsella sp.	EBI	Illumina	2019-01-28T10:07:17.976	2019	human gut	_NA_	_NA_	_NA_	na	No	SET_2567
GCA_902480065.1	SAMEA5852360	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:38.086	2019	human gut	USA	_NA_	_NA_	na	No	SET_2567
GCA_002632685.1	SAMN05375105	Xenorhabdus mauleonii	Goethe University	Illumina	2016-07-12T02:49:02.423	2016	_NA_	Missing	Missing	Steinernema	GCF_002632685.1	Yes	SET_2568
GCA_963876565.1	SAMEA115016108	Xenorhabdus mauleonii	Nanjing Agriculture University	not collected	2024-03-02T10:02:54.900	2024	_NA_	not collected	not collected	_NA_	GCF_963876565.1	Yes	SET_2568
GCA_902374935.1	SAMEA5850940	Staphylococcus schleiferi	EMG	Illumina	2019-08-07T10:17:53.040	2019	human gut	not provided	_NA_	_NA_	GCF_902374935.1	Yes	SET_2569
GCA_000411275.1	SAMN02596732	Staphylococcus sp. HGB0015	Broad Institute	Illumina	2014-01-27T09:48:47.783	2014	_NA_	_NA_	_NA_	_NA_	GCF_000411275.1	Yes	SET_2569
GCA_035329885.1	SAMN32809426	Pyrinomonadaceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:08.140	2023	full-scale industrial wastewater treatment plants sludge	Argentina	Missing	_NA_	na	No	SET_2570
GCA_036826395.1	SAMN28750482	Pyrinomonadaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:28:33.110	2022	sludge	Argentina	Missing	_NA_	na	No	SET_2570
GCA_016729585.1	SAMN17083348	Aeromonas dhakensis	Chinese Center for Disease Control and Prevention	Illumina MiSeq	2020-12-15T09:15:06.830	2020	stool	China: Shenzhen, Longgang	30-09-2017	Homo sapiens	GCF_016729585.1	Yes	SET_2572
