SetID	Assembly	BioSample	Organism	Submitter	SeqTech	SubmissionDate	SubmissionYear	IsolationSource	GeoLocName	CollectionDate	Host	RefSeq_Accession	RefSeq_Present
SET_1546	Different: GCA_900554365.1 | GCA_902482335.1 | GCA_905199785.1	Different: SAMEA4892322 | SAMEA5852591 | SAMEA7848197	Same: uncultured Clostridium sp.	Different: EBI | EMG	Different: Illumina | NextSeq 500	Different: 2019-01-28T10:14:38.806 | 2019-08-07T10:18:45.400 | 2021-01-27T11:14:01.330	Different: 2019 | 2021	Same: human gut	Different: _NA_ | Spain	Different: _NA_ | not provided	Same: _NA_	Same: na	Same: No
SET_1549	Different: GCA_003210055.1 | GCA_902577605.1	Different: SAMN08886459 | SAMEA6079624	Different: SAR116 cluster bacterium AG-426-I14 | uncultured SAR116 cluster alpha proteobacterium	Different: Massachusetts Institute of Technology | WOODS HOLE OCEANOGRAPHIC INSTITUTION	Different: Illumina NextSeq 500 | illumina	Different: 2018-04-06T15:44:17.510 | 2019-10-26T18:19:45.133	Different: 2018 | 2019	Different: single cell amplified by WGA-X; seawater | marine water	Different: Atlantic Ocean | _NA_	Same: 12-11-2011	Same: _NA_	Same: na	Same: No
SET_155	Different: GCA_035404745.1 | GCA_036848335.1	Different: SAMN32865756 | SAMN28751794	Same: Proteiniphilum sp.	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T11:15:08.683 | 2022-05-30T08:22:22.110	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: Hong Kong	Same: 06-03-2015	Same: _NA_	Same: na	Same: No
SET_1553	Different: GCA_949529215.1 | GCA_949538995.1	Different: SAMEA112730924 | SAMEA112731134	Same: Porphyromonadaceae bacterium UBA7145	Same: HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Different: Illumina HiSeq 2000 | NextSeq 500	Different: 2023-03-08T08:34:27.000 | 2023-03-08T08:34:34.266	Same: 2023	Same: mouse gut metagenome	Same: USA	Same: 15-01-2018	Same: _NA_	Same: na	Same: No
SET_1554	Different: GCA_902485405.1 | GCA_900766295.1	Different: SAMEA5852890 | SAMEA5279495	Different: uncultured Caulobacteraceae bacterium | Caulobacteraceae bacterium	Different: EMG | DOE JGI	Different: Illumina | Illumina HiSeq 2000	Different: 2019-08-07T10:18:55.073 | 2019-02-01T10:21:44.610	Same: 2019	Different: human gut | human stool	Same: USA	Different: _NA_ | 01-01-2018	Same: _NA_	Same: na	Same: No
SET_1555	Different: GCA_008802375.1 | GCA_026127235.1	Different: SAMN12821170 | SAMN16213322	Same: Pseudomonas aeruginosa	Same: University of Florida	Same: Illumina MiSeq	Different: 2019-09-23T11:28:04.286 | 2020-09-18T16:43:05.197	Different: 2019 | 2020	Same: Missing	Same: USA	Different: 01-02-2019 | 2019	Same: Homo sapiens	Different: GCF_008802375.1 | GCF_026127235.1	Same: Yes
SET_1556	Different: GCA_026914045.1 | GCA_028883955.1	Different: SAMN32116188 | SAMN32372715	Same: Escherichia coli	Same: Universite Laval	Same: Illumina MiSeq	Different: 2022-12-08T16:03:03.853 | 2022-12-22T15:28:04.093	Same: 2022	Different: Not applicable | fecal sample	Same: USA: Seattle	Different: 1946 | not provided	Different: Missing | Homo sapiens	Different: GCF_026914045.1 | GCF_028883955.1	Same: Yes
SET_1557	Different: GCA_018680595.1 | GCA_024915895.1	Different: SAMN17515961 | SAMN29766650	Same: Staphylococcus aureus	Same: South China Agricultural University	Same: Illumina NovaSeq	Different: 2021-01-23T11:35:06.260 | 2022-07-15T10:33:05.100	Different: 2021 | 2022	Different: environment | air medium	Different: China:Guangdong | China: Guangdong	Different: 14-08-2020 | 2020	Same: _NA_	Different: GCF_018680595.1 | GCF_024915895.1	Same: Yes
SET_1558	Different: GCA_035327345.1 | GCA_036826515.1	Different: SAMN32809366 | SAMN28750477	Same: Planctomycetota bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-20T09:11:07.560 | 2022-05-30T07:28:33.056	Different: 2023 | 2022	Different: full-scale industrial wastewater treatment plants sludge | sludge	Same: Argentina	Same: Missing	Same: _NA_	Same: na	Same: No
SET_1559	Different: GCA_035405505.1 | GCA_036845765.1	Different: SAMN32865720 | SAMN28751442	Same: bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T11:15:08.350 | 2022-05-30T08:18:33.336	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: Hong Kong	Same: 06-03-2015	Same: _NA_	Same: na	Same: No
SET_1561	Different: GCA_902373955.1 | GCA_000158375.2	Different: SAMEA5850831 | SAMN02463700	Different: Clostridium tertium | Clostridium sp. 7_2_43FAA	Different: EMG | Broad Institute	Different: Illumina | 454	Different: 2019-08-07T10:17:49.680 | 2013-12-18T11:11:28.070	Different: 2019 | 2013	Different: human gut | Missing	Different: not provided | not determined	Different: _NA_ | not determined	Different: _NA_ | Homo sapiens	Different: GCF_902373955.1 | GCF_000158375.2	Same: Yes
SET_1563	Different: GCA_000820085.1 | GCA_963867225.1	Different: SAMEA2752411 | SAMEA115017116	Same: Aeromonas sanarellii	Different: UCONNMISEQ | Nanjing Agriculture University	Different: MiSeq | not collected	Different: 2014-11-20T08:05:23.273 | 2024-03-02T10:03:27.670	Different: 2014 | 2024	Same: _NA_	Different: _NA_ | not collected	Different: _NA_ | not collected	Same: _NA_	Different: GCF_000820085.1 | GCF_963867225.1	Same: Yes
SET_1564	Different: GCA_902385945.1 | GCA_001050795.1	Different: SAMEA5851839 | SAMEA3146322	Different: Yersinia enterocolitica | Yersinia enterocolitica (type O:3) str. YE12/03	Different: EMG | WTSI	Different: Illumina | _NA_	Different: 2019-08-07T10:18:21.820 | 2014-11-30T12:05:39.363	Different: 2019 | 2014	Different: human gut | _NA_	Different: not provided | _NA_	Same: _NA_	Different: _NA_ | Homo sapiens	Different: GCF_902385945.1 | GCF_001050795.1	Same: Yes
SET_1565	Different: GCA_009362465.1 | GCA_014267345.1	Different: SAMN13045880 | SAMN15825206	Different: Corynebacterium sp. zg331 | Corynebacterium sp. zg-331	Same: China CDC	Same: Illumina HiSeq	Different: 2019-10-16T23:39:03.680 | 2020-08-15T02:27:05.983	Different: 2019 | 2020	Different: respiratory tract | trachea	Same: China: Qinghai Province	Different: 2018-08 | 2019-12	Same: Marmot	Different: GCF_009362465.1 | GCF_014267345.1	Same: Yes
SET_1566	Different: GCA_949506275.1 | GCA_949535735.1	Different: SAMEA112731246 | SAMEA112730862	Same: Porphyromonadaceae bacterium UBA3317	Same: HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Different: NextSeq 500 | Illumina HiSeq 2000	Different: 2023-03-08T08:34:38.726 | 2023-03-08T08:34:25.260	Same: 2023	Same: mouse gut metagenome	Same: USA	Same: 15-01-2018	Same: _NA_	Same: na	Same: No
SET_1567	Different: GCA_000390125.1 | GCA_963863845.1	Different: SAMN02470997 | SAMEA115017002	Same: Aliivibrio logei ATCC 35077	Different: Smithsonian Institution | Nanjing Agriculture University	Different: Illumina HiSeq | not collected	Different: 2013-12-19T13:34:38.487 | 2024-03-02T10:03:23.528	Different: 2013 | 2024	Same: _NA_	Different: _NA_ | not collected	Different: _NA_ | not collected	Same: _NA_	Different: GCF_000390125.1 | GCF_963863845.1	Same: Yes
SET_1568	Different: GCA_019370945.1 | GCA_009600735.1	Different: SAMN17183815 | SAMN11246196	Different: Escherichia sp. XD24 | Escherichia coli	Same: Huazhong Agricultural University	Different: Illumina NovaSeq | Illumina HiSeq	Different: 2020-12-30T08:19:21.800 | 2019-03-24T23:18:06.500	Different: 2020 | 2019	Same: _NA_	Same: China: Henan	Different: not applicable | 2018-11	Different: swine | _NA_	Different: GCF_019370945.1 | GCF_009600735.1	Same: Yes
SET_1569	Different: GCA_024519215.1 | GCA_027478735.1	Different: SAMN27503439 | SAMN29481884	Same: Ornithinimicrobium cryptoxanthini	Same: Chinese Center for Disease Control and Prevention	Same: Illumina	Different: 2022-04-10T03:27:05.653 | 2022-07-03T00:10:03.263	Same: 2022	Same: sediment	Different: China: Qinghai Province | China: Qinghai	Same: 2019-07	Same: _NA_	Different: GCF_024519215.1 | GCF_027478735.1	Same: Yes
SET_1570	Different: GCA_900541875.1 | GCA_902482325.1	Different: SAMEA4891066 | SAMEA5852588	Same: uncultured Collinsella sp.	Different: EBI | EMG	Same: Illumina	Different: 2019-02-08T12:13:05.756 | 2019-08-07T10:18:45.306	Same: 2019	Same: human gut	Different: _NA_ | Spain	Same: _NA_	Same: _NA_	Same: na	Same: No
SET_1571	Different: GCA_900764925.1 | GCA_902484815.1	Different: SAMEA5278311 | SAMEA5852839	Different: Fusobacteriaceae bacterium | uncultured Fusobacterium sp.	Different: DOE JGI | EMG	Different: Illumina Genome Analyzer II | Illumina	Different: 2019-02-01T10:06:07.770 | 2019-08-07T10:18:53.430	Same: 2019	Different: human stool | human gut	Same: China	Different: 01-01-2018 | _NA_	Same: _NA_	Different: GCF_900764925.1 | na	Different: Yes | No
SET_1572	Different: GCA_020685405.1 | GCA_022127955.1	Different: SAMN22560251 | SAMN18698547	Same: Campylobacter coli	Different: Instituto Nacional de Salud del Peru | Instituto Nacional de Salud	Same: Illumina MiSeq	Different: 2021-10-25T10:04:05.200 | 2021-04-10T12:04:06.217	Same: 2021	Same: stool	Different: Peru: Lima | Peru:Lima	Same: 2019	Same: Homo sapiens	Different: GCF_020685405.1 | GCF_022127955.1	Same: Yes
SET_1573	Different: GCA_010974915.1 | GCA_963888825.1	Different: SAMN14091305 | SAMEA115018181	Same: Aeromonas rivipollensis	Different: University of South Africa | Nanjing Agriculture University	Different: Illumina MiSeq | not collected	Different: 2020-02-13T06:26:04.740 | 2024-03-02T10:04:07.197	Different: 2020 | 2024	Different: water | _NA_	Different: South Africa:Jukskei River | not collected	Different: 21-03-2018 | not collected	Same: _NA_	Different: GCF_010974915.1 | GCF_963888825.1	Same: Yes
SET_1574	Different: GCA_949533605.1 | GCA_949544595.1	Different: SAMEA112731057 | SAMEA112730829	Same: Lachnospiraceae bacterium 10-1	Same: HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Different: NextSeq 500 | Illumina HiSeq 2000	Different: 2023-03-08T08:34:32.270 | 2023-03-08T08:34:24.443	Same: 2023	Same: mouse gut metagenome	Same: USA	Same: 15-01-2018	Same: _NA_	Same: na	Same: No
SET_1575	Different: GCA_000012545.1 | GCA_902384015.1	Different: SAMN02604180 | SAMEA5851668	Different: Methanosphaera stadtmanae DSM 3091 | Methanosphaera stadtmanae	Different: University of Goettingen | EMG	Different: _NA_ | Illumina	Different: 2014-01-30T15:13:16.663 | 2019-08-07T10:18:16.243	Different: 2014 | 2019	Different: _NA_ | human gut	Different: _NA_ | not provided	Same: _NA_	Same: _NA_	Different: GCF_000012545.1 | GCF_902384015.1	Same: Yes
SET_1576	Different: GCA_900771175.1 | GCA_902487805.1	Different: SAMEA5279656 | SAMEA5853143	Different: Opitutales bacterium | uncultured Opitutia bacterium	Different: DOE JGI | EMG	Different: Illumina HiSeq 2000 | Illumina	Different: 2019-02-01T10:23:43.333 | 2019-08-07T10:19:03.243	Same: 2019	Different: human stool | human gut	Different: Fiji | not provided	Different: 01-01-2018 | _NA_	Same: _NA_	Same: na	Same: No
SET_1577	Different: GCA_003050255.1 | GCA_963879005.1	Different: SAMN08099560 | SAMEA115017668	Same: Vibrio splendidus	Different: Station Biologique Roscoff (CNRS/UMPC) | Nanjing Agriculture University	Different: Illumina HiSeq | not collected	Different: 2017-11-26T18:59:04.776 | 2024-03-02T10:03:46.744	Different: 2017 | 2024	Different: Filtered seawater (5uM filter) | _NA_	Different: USA: Plum Island, MA | not collected	Different: 28-04-2006 | not collected	Same: _NA_	Different: GCF_003050255.1 | GCF_963879005.1	Same: Yes
SET_1579	Different: GCA_035398665.1 | GCA_036795535.1	Different: SAMN32865061 | SAMN28749557	Same: Spirochaetota bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T10:56:07.000 | 2022-05-30T07:00:47.256	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: USA	Same: 09-03-2015	Same: _NA_	Same: na	Same: No
SET_1580	Different: GCA_035325065.1 | GCA_036755805.1	Different: SAMN32809287 | SAMN28747418	Same: Ignavibacteriaceae bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-20T09:11:06.730 | 2022-05-30T05:28:34.086	Different: 2023 | 2022	Different: full-scale industrial wastewater treatment plants sludge | sludge	Same: Argentina	Same: Missing	Same: _NA_	Same: na	Same: No
SET_1581	Different: GCA_035393185.1 | GCA_036781805.1	Different: SAMN32865604 | SAMN28748552	Same: Candidatus Goldiibacteriota bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T11:15:07.256 | 2022-05-30T05:49:40.100	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: USA	Same: 07-01-2015	Same: _NA_	Same: na	Same: No
SET_1582	Different: GCA_021608325.1 | GCA_963897965.1	Different: SAMN20667248 | SAMEA115016649	Same: Aeromonas veronii	Different: University of New South Wales | Nanjing Agriculture University	Different: Illumina MiSeq | not collected	Different: 2021-08-08T21:36:05.800 | 2024-03-02T10:03:13.683	Different: 2021 | 2024	Different: feces | _NA_	Different: Australia | not collected	Different: 2020 | not collected	Different: Homo sapiens | _NA_	Different: GCF_021608325.1 | GCF_963897965.1	Same: Yes
SET_1584	Different: GCA_001998765.1 | GCA_902388025.1	Different: SAMN02725021 | SAMEA5852033	Same: Anaerostipes hadrus	Different: Shanghai Jiao Tong University | EMG	Different: PacBio RS II | Illumina	Different: 2014-04-10T05:07:32.453 | 2019-08-07T10:18:27.633	Different: 2014 | 2019	Different: _NA_ | human gut	Different: China: Shanghai | China	Different: 02-11-2011 | _NA_	Different: Homo sapiens | _NA_	Different: GCF_001998765.1 | GCF_902388025.1	Same: Yes
SET_1587	Different: GCA_013280555.1 | GCA_019780085.1	Different: SAMN14987451 | SAMN14687682	Same: Enterococcus faecium	Same: China Agriculture University	Same: Illumina	Different: 2020-05-21T05:34:04.716 | 2020-04-24T05:39:04.460	Same: 2020	Same: _NA_	Different: China | China:Beijing	Different: 07-10-2019 | 01-10-2019	Same: Homo sapiens	Different: GCF_013280555.1 | GCF_019780085.1	Same: Yes
SET_1588	Different: GCA_007003765.1 | GCA_007003825.1	Different: SAMN10847982 | SAMN10847981	Same: Mannheimia haemolytica	Same: Food Animal Health and Mangement Program, University of Georgia	Same: Illumina NextSeq	Different: 2019-01-30T15:09:04.210 | 2019-01-30T15:09:04.193	Same: 2019	Different: week A4 calf 87 isolate 1 | week A4 calf 85 isolate 1	Same: USA: Georgia	Same: 13-04-2016	Same: bovine	Different: GCF_007003765.1 | GCF_007003825.1	Same: Yes
SET_1589	Different: GCA_035398185.1 | GCA_036743475.1	Different: SAMN32865085 | SAMN28746723	Same: Candidatus Portnoyibacteriota bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T10:56:07.260 | 2022-05-30T04:53:37.483	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: USA	Same: 09-03-2015	Same: _NA_	Same: na	Same: No
SET_1590	Different: GCA_902374575.1 | GCA_000238755.1	Different: SAMEA5850895 | SAMN02463793	Different: Campylobacter concisus | Campylobacter sp. 10_1_50	Different: EMG | Broad Institute	Different: Illumina | 454	Different: 2019-08-07T10:17:51.756 | 2013-12-18T11:11:40.257	Different: 2019 | 2013	Different: human gut | Missing	Different: not provided | not determined	Different: _NA_ | not determined	Different: _NA_ | Homo sapiens	Different: GCF_902374575.1 | GCF_000238755.1	Same: Yes
SET_1591	Different: GCA_036248025.1 | GCA_036248185.1	Different: SAMD00634900 | SAMD00634909	Same: Bradyrhizobium ottawaense	Same: Tohoku univ.	Same: Illumina Miseq	Different: 2023-08-05T01:02:35.053 | 2023-08-05T01:02:35.164	Same: 2023	Same: Sorghum roots	Same: Japan:Fukushima, Nihonmatsu	Same: 07-12-2017	Same: Sorghum bicolor	Different: GCF_036248025.1 | GCF_036248185.1	Same: Yes
SET_1592	Different: GCA_009874335.1 | GCA_963886165.1	Different: SAMN11308736 | SAMEA115018120	Same: Photobacterium lucens	Different: CIAD, A.C. | Nanjing Agriculture University	Different: Illumina MiniSeq | not collected	Different: 2019-04-01T14:32:08.343 | 2024-03-02T10:04:05.362	Different: 2019 | 2024	Different: hepatopancreas | _NA_	Different: Mexico: Escuinapa, Sinaloa | not collected	Different: 27-08-2013 | not collected	Different: Penaeus vannamei | _NA_	Different: GCF_009874335.1 | GCF_963886165.1	Same: Yes
SET_1593	Different: GCA_026133885.1 | GCA_026199115.1	Different: SAMN25889421 | SAMN28408320	Same: Klebsiella pneumoniae	Same: Peking University Third Hospital	Different: Illumina NovaSeq | Illumina HiSeq	Different: 2022-02-13T10:20:04.500 | 2022-05-14T10:00:08.886	Same: 2022	Different: Missing | patient with infection	Same: China: Beijing	Same: 28-09-2020	Same: Homo sapiens	Different: GCF_026133885.1 | GCF_026199115.1	Same: Yes
SET_1595	Different: GCA_035395845.1 | GCA_036739055.1	Different: SAMN32865207 | SAMN28746653	Same: Bacteroidales bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T10:56:08.450 | 2022-05-30T04:53:36.593	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: Japan	Same: 20-04-2015	Same: _NA_	Same: na	Same: No
SET_1598	Different: GCA_035396325.1 | GCA_036845885.1	Different: SAMN32865183 | SAMN28751451	Same: Ottowia sp.	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T10:56:08.160 | 2022-05-30T08:18:33.473	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: Hong Kong	Same: 26-01-2015	Same: _NA_	Same: na	Same: No
SET_1599	Different: GCA_035338035.1 | GCA_036733865.1	Different: SAMN32810335 | SAMN28746302	Same: Leptospiraceae bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-20T09:39:08.793 | 2022-05-30T03:55:37.886	Different: 2023 | 2022	Different: Domestic waste water | sludge	Same: Singapore	Same: 19-06-2015	Same: _NA_	Same: na	Same: No
SET_16	Different: GCA_002812585.1 | GCA_902386365.1	Different: SAMN08104991 | SAMEA5851873	Same: Clostridioides difficile	Different: New York Medical College | EMG	Different: PacBio and Illumina MiSeq | Illumina	Different: 2017-11-28T13:09:05.820 | 2019-08-07T10:18:22.820	Different: 2017 | 2019	Different: stool | human gut	Different: USA: NY, Orange Regional Medical Center, adult med surg unit | USA	Different: 19-07-2014 | _NA_	Different: Homo sapiens | _NA_	Different: GCF_002812585.1 | GCF_902386365.1	Same: Yes
SET_160	Different: GCA_900550105.1 | GCA_902482875.1	Different: SAMEA4891895 | SAMEA5852636	Different: uncultured Pelosinus sp. | uncultured Negativicutes bacterium	Different: EBI | EMG	Same: Illumina	Different: 2019-01-28T10:10:58.190 | 2019-08-07T10:18:46.743	Same: 2019	Same: human gut	Different: _NA_ | USA	Same: _NA_	Same: _NA_	Same: na	Same: No
SET_1601	Different: GCA_023534225.1 | GCA_023534925.1	Different: SAMN27592198 | SAMN27409208	Same: Escherichia coli	Same: Zhejiang Academy of Agricultural Sciences	Same: Illumina HiSeq	Different: 2022-04-14T22:43:04.186 | 2022-04-08T00:04:03.943	Same: 2022	Same: _NA_	Same: China:Zhejiang	Same: 2020	Same: pig	Different: GCF_023534225.1 | GCF_023534925.1	Same: Yes
SET_1604	Different: GCA_003859125.1 | GCA_009823355.1	Different: SAMN10476551 | SAMN11928108	Same: Escherichia coli	Different: Sun Yat-sen University | Sichuan University	Same: Illumina HiSeq	Different: 2018-11-26T08:43:06.353 | 2019-06-01T07:44:06.733	Different: 2018 | 2019	Different: Gut | feces	Different: China:Guangdong | Missing	Different: 2014 | Missing	Same: Homo sapiens	Different: GCF_003859125.1 | GCF_009823355.1	Same: Yes
SET_1605	Different: GCA_900547785.1 | GCA_902479395.1	Different: SAMEA4891662 | SAMEA5852297	Same: uncultured Dialister sp.	Different: EBI | EMG	Same: Illumina	Different: 2019-02-08T12:13:10.400 | 2019-08-07T10:18:36.196	Same: 2019	Same: human gut	Different: _NA_ | USA	Same: _NA_	Same: _NA_	Same: na	Same: No
SET_1606	Different: GCA_013415325.1 | GCA_015234745.1	Different: SAMN15420185 | SAMN16540220	Same: Sanguibacter inulinus	Same: King's College London	Same: Illumina HiSeq	Different: 2020-07-01T17:42:03.823 | 2020-10-25T11:51:05.216	Same: 2020	Different: blood | Oral	Same: Spain	Same: 1996	Same: Bos taurus	Different: GCF_013415325.1 | GCF_015234745.1	Same: Yes
SET_1607	Different: GCA_019683715.1 | GCA_023511585.1	Different: SAMN16273799 | SAMN20023755	Different: Methyloceanibacter sp. | Terriglobia bacterium	Same: University of British Columbia	Same: Illumina NextSeq	Different: 2020-09-26T19:59:06.873 | 2021-07-02T18:40:00.996	Different: 2020 | 2021	Different: Woody debris (hog fuel) | hot spring sediment	Different: Canada: Crofton | Canada:Terrace, Lakelse Hot Spring	Different: 24-07-2017 | 21-08-2018	Same: _NA_	Same: na	Same: No
SET_1608	Different: GCA_900770715.1 | GCA_902487695.1	Different: SAMEA5279148 | SAMEA5853120	Different: Bacteroidaceae bacterium | uncultured Prevotella sp.	Different: DOE JGI | EMG	Different: Illumina HiSeq 2000 | Illumina	Different: 2019-02-01T10:17:09.163 | 2019-08-07T10:19:02.510	Same: 2019	Different: human stool | human gut	Different: Fiji | not provided	Different: 01-01-2018 | _NA_	Same: _NA_	Same: na	Same: No
SET_1609	Different: GCA_035398685.1 | GCA_036821465.1	Different: SAMN32865059 | SAMN28750421	Same: bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T10:56:06.980 | 2022-05-30T07:21:39.863	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: USA	Same: 09-03-2015	Same: _NA_	Same: na	Same: No
SET_161	Different: GCA_034366145.1 | GCA_035481755.1	Different: SAMN38656469 | SAMN39248546	Same: Escherichia coli	Same: Nanjing Agricultural University	Same: Complete Genomics	Different: 2023-12-05T01:47:05.206 | 2024-01-04T03:23:10.866	Different: 2023 | 2024	Same: feces	Different: China:Nanjing | China:Jining	Different: 2021 | 2023	Different: Bovine | bovine	Different: GCF_034366145.1 | GCF_035481755.1	Same: Yes
SET_1611	Different: GCA_023534585.1 | GCA_023535285.1	Different: SAMN27592181 | SAMN27409177	Same: Escherichia coli	Same: Zhejiang Academy of Agricultural Sciences	Same: Illumina HiSeq	Different: 2022-04-14T22:43:03.969 | 2022-04-07T23:53:04.327	Same: 2022	Same: _NA_	Same: China:Zhejiang	Same: 2020	Same: chicken	Different: GCF_023534585.1 | GCF_023535285.1	Same: Yes
SET_1613	Different: GCA_035432365.1 | GCA_036775075.1	Different: SAMN32865087 | SAMN28748166	Different: Kiritimatiellia bacterium | Verrucomicrobiota bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T10:56:07.280 | 2022-05-30T05:37:43.840	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: USA	Same: 09-03-2015	Same: _NA_	Same: na	Same: No
SET_1614	Different: GCA_021440865.1 | GCA_963898355.1	Different: SAMN24244999 | SAMEA115016647	Same: Aeromonas salmonicida	Different: National Institute of Health Dr Ricardo Jorge | Nanjing Agriculture University	Different: Illumina MiniSeq | not collected	Different: 2021-12-20T09:00:08.383 | 2024-03-02T10:03:13.648	Different: 2021 | 2024	Different: fish | _NA_	Different: Portugal | not collected	Different: 14-01-2019 | not collected	Same: _NA_	Different: GCF_021440865.1 | GCF_963898355.1	Same: Yes
SET_1617	Different: GCA_900543485.1 | GCA_902481085.1	Different: SAMEA4891232 | SAMEA5852459	Same: uncultured Eubacterium sp.	Different: EBI | EMG	Same: Illumina	Different: 2019-01-28T10:05:14.930 | 2019-08-07T10:18:41.226	Same: 2019	Same: human gut	Different: _NA_ | USA	Same: _NA_	Same: _NA_	Same: na	Same: No
SET_1618	Different: GCA_902812325.1 | GCA_902812405.1	Different: SAMEA6606250 | SAMEA6606251	Different: Chloroflexota bacterium | bacterium	Same: RADBOUD UNIVERSITY	Same: Illumina Miseq	Different: 2020-04-18T18:20:43.483 | 2020-04-18T18:20:43.513	Same: 2020	Same: _NA_	Same: _NA_	Same: _NA_	Same: _NA_	Different: GCF_902812325.1 | GCF_902812405.1	Same: Yes
SET_1619	Different: GCA_900766225.1 | GCA_902485155.1	Different: SAMEA5279211 | SAMEA5852873	Same: uncultured Bacteroides sp.	Different: DOE JGI | EMG	Different: Illumina HiSeq 2000 | Illumina	Different: 2019-02-01T10:17:55.310 | 2019-08-07T10:18:54.510	Same: 2019	Different: human stool | human gut	Same: USA	Different: 01-01-2018 | _NA_	Same: _NA_	Same: na	Same: No
SET_1620	Different: GCA_035398985.1 | GCA_036759245.1	Different: SAMN32865046 | SAMN28747748	Same: bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T10:56:06.787 | 2022-05-30T05:28:38.490	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: USA	Same: 09-03-2015	Same: _NA_	Same: na	Same: No
SET_1622	Different: GCA_035405385.1 | GCA_036725645.1	Different: SAMN32865724 | SAMN28745745	Same: Spirochaetota bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-22T11:15:08.390 | 2022-05-30T03:09:37.793	Different: 2023 | 2022	Different: Activated sludge of municipal wastewater treatment plants | sludge	Same: Hong Kong	Same: 06-03-2015	Same: _NA_	Same: na	Same: No
SET_1623	Different: GCA_000272325.2 | GCA_963860735.1	Different: SAMN02470457 | SAMEA115016952	Same: Vibrio splendidus FF-6	Different: Broad Institute | Nanjing Agriculture University	Different: Illumina GAII; Illumina GI | not collected	Different: 2013-12-19T13:24:49.723 | 2024-03-02T10:03:22.398	Different: 2013 | 2024	Different: filtered seawater (<1um filter) | _NA_	Different: USA: Massachusetts | not collected	Different: 2006-09 | not collected	Same: _NA_	Different: GCF_000272325.2 | GCF_963860735.1	Same: Yes
SET_1624	Different: GCA_003214615.1 | GCA_902567835.1	Different: SAMN08886399 | SAMEA6075915	Different: Pelagibacteraceae bacterium AG-414-E02 | uncultured Pelagibacteraceae bacterium	Different: Massachusetts Institute of Technology | WOODS HOLE OCEANOGRAPHIC INSTITUTION	Different: Illumina NextSeq 500 | illumina	Different: 2018-04-06T15:44:16.433 | 2019-10-26T16:11:22.146	Different: 2018 | 2019	Different: single cell amplified by WGA-X; seawater | marine water	Different: Atlantic Ocean | _NA_	Same: 17-06-2010	Same: _NA_	Same: na	Same: No
