Assembly	BioSample	Organism	Submitter	SeqTech	SubmissionDate	IsolationSource	GeoLocName	CollectionDate	Host
GCA_019780085.1	SAMN14687682	Enterococcus faecium	China Agriculture University	Illumina	2020-04-24T05:39:04.460		China:Beijing	2019-10-01	Homo sapiens
GCA_007003765.1	SAMN10847982	Mannheimia haemolytica	Food Animal Health and Mangement Program, University of Georgia	Illumina NextSeq	2019-01-30T15:09:04.210	week A4 calf 87 isolate 1	USA: Georgia	2016-04-13	bovine
GCA_007003825.1	SAMN10847981	Mannheimia haemolytica	Food Animal Health and Mangement Program, University of Georgia	Illumina NextSeq	2019-01-30T15:09:04.193	week A4 calf 85 isolate 1	USA: Georgia	2016-04-13	bovine
GCA_035398185.1	SAMN32865085	Candidatus Portnoyibacteriota bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:07.260	Activated sludge of municipal wastewater treatment plants	USA	2015-03-09	
GCA_036743475.1	SAMN28746723	Candidatus Portnoyibacteriota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T04:53:37.483	sludge	USA	2015-03-09	
GCA_902374575.1	SAMEA5850895	Campylobacter concisus	EMG	Illumina	2019-08-07T10:17:51.756	human gut	not provided		
GCA_000238755.1	SAMN02463793	Campylobacter sp. 10_1_50	Broad Institute	454	2013-12-18T11:11:40.257	missing	not determined	not determined	Homo sapiens
GCA_036248025.1	SAMD00634900	Bradyrhizobium ottawaense	Tohoku univ.	Illumina Miseq	2023-08-05T01:02:35.053	Sorghum roots	Japan:Fukushima, Nihonmatsu	2017-12-07	Sorghum bicolor
GCA_036248185.1	SAMD00634909	Bradyrhizobium ottawaense	Tohoku univ.	Illumina Miseq	2023-08-05T01:02:35.164	Sorghum roots	Japan:Fukushima, Nihonmatsu	2017-12-07	Sorghum bicolor
GCA_009874335.1	SAMN11308736	Photobacterium lucens	CIAD, A.C.	Illumina MiniSeq	2019-04-01T14:32:08.343	hepatopancreas	Mexico: Escuinapa, Sinaloa	2013-08-27	Penaeus vannamei
GCA_963886165.1	SAMEA115018120	Photobacterium lucens	Nanjing Agriculture University	not collected	2024-03-02T10:04:05.362		not collected	not collected	
GCA_026133885.1	SAMN25889421	Klebsiella pneumoniae	Peking University Third Hospital	Illumina NovaSeq	2022-02-13T10:20:04.500	missing	China: Beijing	2020-09-28	Homo sapiens
GCA_026199115.1	SAMN28408320	Klebsiella pneumoniae	Peking University Third Hospital	Illumina HiSeq	2022-05-14T10:00:08.886	patient with infection	China: Beijing	2020-09-28	Homo sapiens
GCA_035395845.1	SAMN32865207	Bacteroidales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.450	Activated sludge of municipal wastewater treatment plants	Japan	2015-04-20	
GCA_036739055.1	SAMN28746653	Bacteroidales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T04:53:36.593	sludge	Japan	2015-04-20	
GCA_035396325.1	SAMN32865183	Ottowia sp.	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.160	Activated sludge of municipal wastewater treatment plants	Hong Kong	2015-01-26	
GCA_036845885.1	SAMN28751451	Ottowia sp.	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T08:18:33.473	sludge	Hong Kong	2015-01-26	
GCA_035338035.1	SAMN32810335	Leptospiraceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:39:08.793	Domestic waste water	Singapore	2015-06-19	
GCA_036733865.1	SAMN28746302	Leptospiraceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T03:55:37.886	sludge	Singapore	2015-06-19	
GCA_023534225.1	SAMN27592198	Escherichia coli	Zhejiang Academy of Agricultural Sciences	Illumina HiSeq	2022-04-14T22:43:04.186		China:Zhejiang	2020	pig
GCA_023534925.1	SAMN27409208	Escherichia coli	Zhejiang Academy of Agricultural Sciences	Illumina HiSeq	2022-04-08T00:04:03.943		China:Zhejiang	2020	pig
GCA_003859125.1	SAMN10476551	Escherichia coli	Sun Yat-sen University	Illumina HiSeq	2018-11-26T08:43:06.353	Gut	China:Guangdong	2014	Homo sapiens
GCA_009823355.1	SAMN11928108	Escherichia coli	Sichuan University	Illumina HiSeq	2019-06-01T07:44:06.733	feces	missing	missing	Homo sapiens
GCA_900547785.1	SAMEA4891662	uncultured Dialister sp.	EBI	Illumina	2019-02-08T12:13:10.400	human gut			
GCA_902479395.1	SAMEA5852297	uncultured Dialister sp.	EMG	Illumina	2019-08-07T10:18:36.196	human gut	USA		
GCA_013415325.1	SAMN15420185	Sanguibacter inulinus	King's College London	Illumina HiSeq	2020-07-01T17:42:03.823	blood	Spain	1996	Bos taurus
GCA_015234745.1	SAMN16540220	Sanguibacter inulinus	King's College London	Illumina HiSeq	2020-10-25T11:51:05.216	Oral	Spain	1996	Bos taurus
GCA_019683715.1	SAMN16273799	Methyloceanibacter sp.	University of British Columbia	Illumina NextSeq	2020-09-26T19:59:06.873	Woody debris ("hog fuel")	Canada: Crofton	2017-07-24	
GCA_023511585.1	SAMN20023755	Terriglobia bacterium	University of British Columbia	Illumina NextSeq	2021-07-02T18:40:00.996	hot spring sediment	Canada:Terrace, Lakelse Hot Spring	2018-08-21	
GCA_900770715.1	SAMEA5279148	Bacteroidaceae bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:17:09.163	human stool	Fiji	2018-01-01	
GCA_902487695.1	SAMEA5853120	uncultured Prevotella sp.	EMG	Illumina	2019-08-07T10:19:02.510	human gut	not provided		
GCA_035398685.1	SAMN32865059	bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:06.980	Activated sludge of municipal wastewater treatment plants	USA	2015-03-09	
GCA_036821465.1	SAMN28750421	bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:21:39.863	sludge	USA	2015-03-09	
GCA_023534585.1	SAMN27592181	Escherichia coli	Zhejiang Academy of Agricultural Sciences	Illumina HiSeq	2022-04-14T22:43:03.969		China:Zhejiang	2020	chicken
GCA_023535285.1	SAMN27409177	Escherichia coli	Zhejiang Academy of Agricultural Sciences	Illumina HiSeq	2022-04-07T23:53:04.327		China:Zhejiang	2020	chicken
GCA_035432365.1	SAMN32865087	Kiritimatiellia bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:07.280	Activated sludge of municipal wastewater treatment plants	USA	2015-03-09	
GCA_036775075.1	SAMN28748166	Verrucomicrobiota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:37:43.840	sludge	USA	2015-03-09	
GCA_021440865.1	SAMN24244999	Aeromonas salmonicida	National Institute of Health Dr Ricardo Jorge	Illumina MiniSeq	2021-12-20T09:00:08.383	fish	Portugal	2019-01-14	
GCA_963898355.1	SAMEA115016647	Aeromonas salmonicida	Nanjing Agriculture University	not collected	2024-03-02T10:03:13.648		not collected	not collected	
GCA_900543485.1	SAMEA4891232	uncultured Eubacterium sp.	EBI	Illumina	2019-01-28T10:05:14.930	human gut			
GCA_902481085.1	SAMEA5852459	uncultured Eubacterium sp.	EMG	Illumina	2019-08-07T10:18:41.226	human gut	USA		
GCA_902812325.1	SAMEA6606250	Chloroflexota bacterium	RADBOUD UNIVERSITY	Illumina Miseq	2020-04-18T18:20:43.483				
GCA_902812405.1	SAMEA6606251	bacterium	RADBOUD UNIVERSITY	Illumina Miseq	2020-04-18T18:20:43.513				
GCA_900766225.1	SAMEA5279211	uncultured Bacteroides sp.	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:17:55.310	human stool	USA	2018-01-01	
GCA_902485155.1	SAMEA5852873	uncultured Bacteroides sp.	EMG	Illumina	2019-08-07T10:18:54.510	human gut	USA		
GCA_035398985.1	SAMN32865046	bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:06.787	Activated sludge of municipal wastewater treatment plants	USA	2015-03-09	
GCA_036759245.1	SAMN28747748	bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:28:38.490	sludge	USA	2015-03-09	
GCA_035405385.1	SAMN32865724	Spirochaetota bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T11:15:08.390	Activated sludge of municipal wastewater treatment plants	Hong Kong	2015-03-06	
GCA_036725645.1	SAMN28745745	Spirochaetota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T03:09:37.793	sludge	Hong Kong	2015-03-06	
GCA_000272325.2	SAMN02470457	Vibrio splendidus FF-6	Broad Institute	Illumina GAII; Illumina GI	2013-12-19T13:24:49.723	filtered seawater (<1um filter)	USA: Massachusetts	2006-09	
GCA_963860735.1	SAMEA115016952	Vibrio splendidus FF-6	Nanjing Agriculture University	not collected	2024-03-02T10:03:22.398		not collected	not collected	
GCA_003214615.1	SAMN08886399	Pelagibacteraceae bacterium AG-414-E02	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:16.433	single cell amplified by WGA-X; seawater	Atlantic Ocean	2010-06-17	
GCA_902567835.1	SAMEA6075915	uncultured Pelagibacteraceae bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T16:11:22.146	marine water		2010-06-17	
GCA_000348085.2	SAMN00989303	Vibrio paracholerae 87395	Institute for Genome Sciences	Illumina	2012-05-08T11:24:26.016				
GCA_963863325.1	SAMEA115016983	Vibrio paracholerae 87395	Nanjing Agriculture University	not collected	2024-03-02T10:03:23.075		not collected	not collected	
GCA_902486725.1	SAMEA5853029	uncultured Christensenella sp.	EMG	Illumina	2019-08-07T10:18:59.336	human gut	not provided		
GCA_900769205.1	SAMEA5278959	Clostridia bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:14:45.206	human stool	Fiji	2018-01-01	
GCA_003210115.1	SAMN08886453	SAR116 cluster bacterium AG-426-A06	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:17.410	single cell amplified by WGA-X; seawater	Atlantic Ocean	2011-11-12	
GCA_902575355.1	SAMEA6079515	uncultured SAR116 cluster alpha proteobacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T18:19:41.383	marine water		2011-11-12	
GCA_900553835.1	SAMEA4892270	uncultured Mycoplasmatota bacterium	EBI	Illumina	2019-02-08T12:13:14.633	human gut			
GCA_902479545.1	SAMEA5852317	uncultured Clostridium sp.	EMG	Illumina	2019-08-07T10:18:36.790	human gut	Peru		
GCA_014076835.1	SAMN15641049	Colwellia sp. MB3u-64	University of Alaska Fairbanks	Illumina MiSeq	2020-07-24T15:56:07.883	bottom of first year landfast sea ice	USA: Point Barrow, Alaska	2016-04-12	
GCA_963890335.1	SAMEA115018275	Colwellia sp. MB3u-64	Nanjing Agriculture University	not collected	2024-03-02T10:04:09.556		not collected	not collected	
GCA_035394865.1	SAMN32865257	Smithella sp.	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.910	Activated sludge of municipal wastewater treatment plants	Japan	2015-04-20	
GCA_036827845.1	SAMN28750574	Syntrophaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:28:34.223	sludge	Japan	2015-04-20	
GCA_902486455.1	SAMEA5853004	uncultured Bacteroidales bacterium	EMG	Illumina	2019-08-07T10:18:58.573	human gut	not provided		
GCA_900768685.1	SAMEA5278762	Bacteroidales bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:12:02.593	human stool	Fiji	2018-01-01	
GCA_900761895.1	SAMEA5279531	Clostridia bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:22:11.440	human stool	USA	2018-01-01	
GCA_902484095.1	SAMEA5852759	uncultured Eubacteriales bacterium	EMG	Illumina	2019-08-07T10:18:50.993	human gut	USA		
GCA_035325225.1	SAMN32809277	Phycisphaerales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:06.633	full-scale industrial wastewater treatment plants sludge	Argentina	Missing	
GCA_036788755.1	SAMN28748821	Phycisphaerales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T06:45:39.470	sludge	Argentina	missing	
GCA_009728615.1	SAMN06218433	Gloeocapsopsis dulcis AAB1 = 1H9	Pontificia Universidad Catolica de Chile	Illumina MiSeq	2017-01-11T18:14:03.066	hypolithic community in a quartz rock in Atacama Desert; isolated from the AAB1 culture	Chile: Atacama Desert	missing	
GCA_963887075.1	SAMEA115018091	Gloeocapsopsis dulcis AAB1 = 1H9	Nanjing Agriculture University	not collected	2024-03-02T10:04:04.779		not collected	not collected	
GCA_010119775.1	SAMN13509235	Photorhabdus laumondii subsp. laumondii	University of Bern	Illumina HiSeq	2019-12-09T03:01:05.563	missing	Missing	Missing	Heterorhabditis bacteriophora
GCA_963888195.1	SAMEA115012535	Photorhabdus laumondii subsp. laumondii	Nanjing Agriculture University	not collected	2024-03-02T10:01:11.842		not collected	not collected	
GCA_007051035.1	SAMN12215505	Pseudomonas aeruginosa	Zanjan University of Medical Sciences	Illumina HiSeq	2019-07-04T06:02:04.237		United Kingdom	1969	Agaricus bisporus
GCA_963885145.1	SAMEA115017992	Pseudomonas aeruginosa	Nanjing Agriculture University	not collected	2024-03-02T10:03:59.824		not collected	not collected	
GCA_030520935.1	SAMN34566103	Clavibacter michiganensis	Agricultural Research Organization - Volcani Institute	Illumina NextSeq2000	2023-05-03T06:37:05.170		Israel	2009	Solanum lycopersicum
GCA_030521185.1	SAMN34566091	Clavibacter michiganensis	Agricultural Research Organization - Volcani Institute	Illumina NextSeq2000	2023-05-03T06:37:04.967		Israel	2010	Solanum lycopersicum
GCA_902387285.1	SAMEA5851961	Methanomethylophilus alvi	EMG	Illumina	2019-08-07T10:18:25.460	human gut	USA		
GCA_000300255.2	SAMN03081445	Candidatus Methanomethylophilus alvi Mx1201	Université d'Auvergne	454	2014-09-26T10:51:17.473				
GCA_902507995.1	SAMEA6099557	Klebsiella pneumoniae	ZHEJIANG UNIVERSITY	Illumina Hiseq xTen	2019-12-17T10:06:36.106	homo	China	2017	homo
GCA_963901195.1	SAMEA115018988	Klebsiella pneumoniae	Nanjing Agriculture University	not collected	2024-03-02T10:04:35.370		not collected	not collected	
GCA_035427125.1	SAMN32867278	Pyrinomonadaceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T12:09:08.530	Foam and foaming activated sludge	China	2012-03-01	
GCA_036758705.1	SAMN28747451	Pyrinomonadaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:28:34.510	sludge	China	2012-03-01	
GCA_900539405.1	SAMEA4890817	uncultured Paenibacillus sp.	EBI	Illumina	2019-01-28T10:01:30.630	human gut			
GCA_902479775.1	SAMEA5852322	uncultured Paenibacillus sp.	EMG	Illumina	2019-08-07T10:18:36.930	human gut	USA		
GCA_902479655.1	SAMEA5852319	uncultured Caryophanales bacterium	EMG	Illumina	2019-08-07T10:18:36.836	human gut	Peru		
GCA_900544605.1	SAMEA4891343	uncultured Mycoplasmatota bacterium	EBI	Illumina	2019-01-28T10:06:10.916	human gut			
GCA_003425775.1	SAMN07343970	Cutibacterium acnes	University of Washington	Illumina	2017-07-11T19:13:02.936	Shoulder wound	USA: Seattle	2015-04-21	Homo sapiens
GCA_006240615.1	SAMN09289889	Cutibacterium acnes	University of Washington	Illumina MiSeq	2018-05-31T15:15:18.713	Wound Shoulder Right OPERATIVE	USA	2015-04-21	Homo sapiens
GCA_020003215.1	SAMN19819865	Salmonella enterica	Sichuan University	Illumina MiSeq	2021-06-22T22:15:06.596	chicken	China:Sichuan	2019-04-02	
GCA_021556405.1	SAMN25027441	Salmonella enterica subsp. enterica	Sichuan University	Illumina	2022-01-16T00:39:07.053	farm	China	2020-10-13	chicken
GCA_012912135.1	SAMN09468270	Brasilonema bromeliae SPC951	Sao Paulo State University (UNESP)	Illumina HiSeq	2018-06-21T16:38:18.466	leaves	Brazil: Sao Paulo, Sao Paulo	2004	bromeliads
GCA_963887565.1	SAMEA115018211	Brasilonema bromeliae SPC951	Nanjing Agriculture University	not collected	2024-03-02T10:04:07.966		not collected	not collected	
GCA_002188915.1	SAMN06330405	Yersinia kristensenii	FDA/CFSAN	Illumina NextSeq	2017-02-14T11:36:04.903	sausage	Brazil	1988	missing
GCA_963873565.1	SAMEA115017434	Yersinia kristensenii	Nanjing Agriculture University	not collected	2024-03-02T10:03:37.252		not collected	not collected	
GCA_035392905.1	SAMN32865618	Bacillota bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T11:15:07.380	Activated sludge of municipal wastewater treatment plants	USA	2015-01-07	
GCA_036759065.1	SAMN28747746	Bacillota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:28:38.466	sludge	USA	2015-01-07	
GCA_004134845.1	SAMN10781790	Staphylococcus sp. SNAZ 75	MJIIT	IonTorrent	2019-01-20T07:55:03.640	hospital wastewater	Malaysia: Kuala Lumpur, PPUM	2014-04-23	
GCA_016722825.1	SAMN17221390	Staphylococcus sp. S75	Universiti Teknologi Malaysia	IonTorrent	2021-01-05T20:44:06.510	Lembah Pantai River	Malaysia: Kuala Lumpur	2014-04	
GCA_009761885.1	SAMN13068768	Escherichia coli	washington state university	Illumina MiSeq	2019-10-21T11:58:05.436	feces	Tanzania	2015-06-25	Homo sapiens
GCA_009880975.1	SAMN13515593	Escherichia coli	washington state university	Illumina MiSeq	2019-12-09T16:26:05.023	feces	Tanzania	not applicable	Homo sapiens
GCA_035404885.1	SAMN32865750	Bacteroidales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T11:15:08.630	Activated sludge of municipal wastewater treatment plants	Hong Kong	2015-03-06	
GCA_036759025.1	SAMN28747483	Bacteroidales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:28:34.976	sludge	Hong Kong	2015-03-06	
GCA_003014915.1	SAMN08731401	Pseudomonas sp. R9.37	Aarhus University	Illumina MiSeq	2018-03-19T07:46:02.757	Rain	Denmark: Roskilde	2009-06-11	
GCA_963878885.1	SAMEA115017648	Pseudomonas sp. R9.37	Nanjing Agriculture University	not collected	2024-03-02T10:03:41.238		not collected	not collected	
GCA_009707175.1	SAMN13162663	Streptococcus zhangguiae	China CDC	Illumina HiSeq	2019-10-30T21:15:04.033	respiratory tract	China: Yushu prefecture, Qinghai Province	2018-08	Marmot
GCA_013623455.1	SAMN14832920	Streptococcus zhangguiae	China CDC	Illumina HiSeq PE150	2020-05-05T04:05:06.293		China	2018-08-02	marmot
GCA_002097815.1	SAMN06263905	Vibrio paracholerae	Centro de Investigacao em Saude de Manhica (CISM)	Illumina HiSeq	2017-01-25T00:57:06.860	stool	Mozambique: Manhica	2012-03-02	Homo sapiens
GCA_963873525.1	SAMEA115017417	Vibrio paracholerae	Nanjing Agriculture University	not collected	2024-03-02T10:03:34.908		not collected	2012	
GCA_019903425.1	SAMN15676581	Vreelandella halophila	Third Institute of Oceanography, Ministry of Natural Resources	Illumina HiSeq	2020-07-30T03:28:03.900	hypersaline lakes	missing	missing	
GCA_900162675.1	SAMEA78793918	Vreelandella halophila	URMITE	Illumina MP 150bp	2017-02-06T13:11:39.373				
GCA_949511755.1	SAMEA112731325	uncultured Muribaculum sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:40.923	mouse gut metagenome	USA	2018-01-15	
GCA_949550385.1	SAMEA112730733	uncultured Muribaculum sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:21.826	mouse gut metagenome	USA	2018-01-15	
GCA_004028165.1	SAMN09812355	Endozoicomonadaceae bacterium GTF-13	Chung Ang University	Illumina	2018-08-13T02:19:03.287	tidal flats	South Korea: Gangjin area	2017-01-20	
GCA_003864255.1	SAMN09873689	Aestuariirhabdus litorea	Chung Ang University	Illumina	2018-08-21T20:55:03.783	tidal flats	South Korea: Gangjin area	2016-08-14	
GCA_000271485.2	SAMN01057329	Pelosinus fermentans DSM 17108	ORNL	PacBio	2012-06-22T16:05:05.223	groundwater	USA: Washington	Aug-2010	
GCA_900100555.1	SAMN04515679	Pelosinus fermentans	DOE - JOINT GENOME INSTITUTE	PacBio RS	2016-02-24T22:15:27.837		missing	not collected	
GCA_002155835.1	SAMN06711132	Escherichia coli	LAU	Illumina MiSeq	2017-04-12T05:31:02.793		Lebanon	2016-12-06	Homo sapiens
GCA_003709105.1	SAMN09767202	Escherichia coli	Lebanese American University	Illumina MiSeq	2018-08-05T03:21:02.609		Lebanon	missing	Homo sapiens
GCA_023633965.1	SAMN26814365	Bacteroides caccae	Icahn School of Medicine at Mount Sinai	Illumina HiSeq	2022-03-20T17:10:03.827		USA:New York	2016-08-15	Homo sapiens
GCA_039762115.1	SAMN41375999	Bacteroides caccae	Icahn School of Medicine at Mount Sinai	Illumina	2024-05-12T11:07:06.433		USA: New York	2016-08-15	Homo sapiens
GCA_900766655.1	SAMEA5278142	uncultured Alistipes sp.	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:03:57.240	human stool	Fiji	2018-01-01	
GCA_902485595.1	SAMEA5852921	uncultured Alistipes sp.	EMG	Illumina	2019-08-07T10:18:56.133	human gut	not provided		
GCA_035326225.1	SAMN32809231	Bacteroidales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:06.170	Active sludge of wastewater treatment plant	missing	Missing	
GCA_036804725.1	SAMN28749810	Bacteroidales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:09:36.553	sludge	missing	missing	
GCA_035393645.1	SAMN32865318	bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:09.473	Activated sludge of municipal wastewater treatment plants	USA	2015-01-07	
GCA_036803365.1	SAMN28749953	bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:09:38.450	sludge	USA	2015-01-07	
GCA_013114445.1	SAMN12668372	Vibrio splendidus	Oregon State University	Illumina MiSeq	2019-08-30T18:43:05.096	Shellfish Hatchery	USA: Oregon, Netarts Bay	1999	Magallana gigas
GCA_963889865.1	SAMEA115018243	Vibrio splendidus	Nanjing Agriculture University	not collected	2024-03-02T10:04:08.823		not collected	not collected	
GCA_002875005.1	SAMN05417987	Vibrio splendidus	Massachusetts Institute of Technology	Illumina HiSeq	2016-07-20T09:07:24.293	Filtered Seawater, 0.2-1 micron fraction	USA: Massachusetts, Nahant, Canoe Cove	2010-08-10	
GCA_963877665.1	SAMEA115017580	Vibrio splendidus	Nanjing Agriculture University	not collected	2024-03-02T10:03:39.796		not collected	not collected	
GCA_900553725.1	SAMEA4892256	uncultured Enterobacteriaceae bacterium	EBI	Illumina	2019-01-28T10:14:07.396	human gut			
GCA_902480535.1	SAMEA5852409	uncultured Enterobacteriaceae bacterium	EMG	Illumina	2019-08-07T10:18:39.540	human gut	USA		
GCA_003212815.1	SAMN08886489	Pelagibacteraceae bacterium AG-435-G05	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:18.150	single cell amplified by WGA-X; seawater	Atlantic Ocean	2011-12-04	
GCA_902586265.1	SAMEA6080084	uncultured Pelagibacteraceae bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T18:20:00.150	marine water		2011-12-04	
GCA_900550275.1	SAMEA4891907	uncultured Oscillibacter sp.	EBI	Illumina	2019-01-28T10:11:06.086	human gut			
GCA_902481045.1	SAMEA5852469	uncultured Oscillibacter sp.	EMG	Illumina	2019-08-07T10:18:41.523	human gut	USA		
GCA_020051905.1	SAMN18077018	Ignavibacteriales bacterium	Northwestern University	Illumina HiSeq 2500	2021-02-26T16:21:09.157	fracture fluid	USA: Sanford Underground Research Facility, Lead SD, Deep Mine Microbial Observatory (DeMMO)	2018-04	
GCA_020061465.1	SAMN18076553	Ignavibacteriales bacterium	Northwestern University	Illumina HiSeq 2500	2021-02-26T16:20:08.293	fracture fluid	USA: Sanford Underground Research Facility, Lead SD, Deep Mine Microbial Observatory (DeMMO)	2018-04	
GCA_016881405.1	SAMN13381777	Deefgea chitinilytica	Nakdonggang National Institute of Biological Resources	Illumina NovaSeq	2019-11-25T03:56:05.667	wetland	not applicable	not applicable	
GCA_014042245.2	SAMN15615924	Deefgea sp. CFH1-16	Nakdonggang National Institute of Biological Resources	Illumina NovaSeq	2020-07-23T01:40:10.516	intestine	South Korea	2019-02	Hypomesus nipponensis
GCA_009766445.1	SAMN13068776	Escherichia coli	washington state university	Illumina MiSeq	2019-10-21T11:58:05.566	water	Tanzania	2015-06-25	not applicable
GCA_009766675.1	SAMN13068735	Escherichia coli	washington state university	Illumina MiSeq	2019-10-21T11:58:04.880	water	Tanzania	2015-06-25	not applicable
GCA_019448275.1	SAMN20086817	Streptococcus humanilactis	Inner Mongolia Agricultural University	Illumina HiSeq	2021-07-06T22:19:05.840	breast milk	China:Hohhot	2018	Homo sapiens
GCA_019448285.1	SAMN20518879	Streptococcus humanilactis	Inner Mongolia Agricultural University	Illumina HiSeq	2021-08-02T06:57:05.493	breast milk	China:Hohhot	missing	Homo sapiens
GCA_035393385.1	SAMN32865331	Bacteroidales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:09.623	Activated sludge of municipal wastewater treatment plants	USA	2015-01-07	
GCA_036759085.1	SAMN28747743	Bacteroidales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:28:38.426	sludge	USA	2015-01-07	
GCA_001282625.1	SAMEA3312814	Lascolabacillus massiliensis	URMITE	Illumina MP 250 bp	2015-03-25T12:05:04.560				
GCA_902375595.1	SAMEA5851006	Porphyromonadaceae bacterium	EMG	Illumina	2019-08-07T10:17:54.883	human gut	not provided		
GCA_949529345.1	SAMEA112731088	Muribaculaceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:33.046	mouse gut metagenome	USA	2018-01-15	
GCA_949542245.1	SAMEA112730811	Muribaculaceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:24.016	mouse gut metagenome	USA	2018-01-15	
GCA_020051875.1	SAMN18077019	Anaerolineales bacterium	Northwestern University	Illumina HiSeq 2500	2021-02-26T16:21:09.170	fracture fluid	USA: Sanford Underground Research Facility, Lead SD, Deep Mine Microbial Observatory (DeMMO)	2018-04	
GCA_020059545.1	SAMN18076647	Anaerolineales bacterium	Northwestern University	Illumina HiSeq 2500	2021-02-26T16:20:09.407	fracture fluid	USA: Sanford Underground Research Facility, Lead SD, Deep Mine Microbial Observatory (DeMMO)	2018-04	
GCA_013009465.1	SAMN14687775	Streptococcus suis	China Agriculture University	454	2020-04-24T07:10:05.503	pig farm	China:SiChuan	2019-10-01	pig
GCA_013343705.1	SAMN15052189	Streptococcus suis	China Agriculture University	454	2020-05-28T23:48:05.164	healthy	China	2017-10-01	pig
GCA_013344205.1	SAMN15052374	Streptococcus suis	China Agriculture University	454	2020-05-29T02:28:05.580	nasal	China	2017-10-01	pig
GCA_902485905.1	SAMEA5852952	uncultured Porphyromonadaceae bacterium	EMG	Illumina	2019-08-07T10:18:57.073	human gut	not provided		
GCA_900767385.1	SAMEA5279158	Bacteroidales bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:17:16.366	human stool	Fiji	2018-01-01	
GCA_014145345.1	SAMN15181894	Escherichia coli	University of Sao Paulo	Illumina NextSeq	2020-06-08T18:56:06.110	feces	Brazil: Amazonas	2013-03-01	Homo sapiens
GCA_021735995.1	SAMN14485853	Escherichia coli	University of Sao Paulo	Illumina NextSeq	2020-03-30T09:51:05.370	feces	Brazil: Sao Gabriel da Cachoeira	2013	Homo sapiens
