Organism.Name	TaxID	BioProject.Accession	BioProject.ID	Group	SubGroup	Size..Mb.	GC.	Replicons	WGS	Scaffolds	Genes	Proteins	Release.Date	Modify.Date	Status	Center	BioSample.Accession	Assembly.Accession	Reference	FTP.Path	Pubmed.ID	Strain	Actual.Size
Enterococcus faecium	1352	PRJNA718441	718441	Terrabacteria group	Bacillota	3.24808	37.6727	chromosome:NZ_CP072731.1/CP072731.1; plasmid pVB6171_p1:NZ_CP072732.1/CP072732.1; plasmid pVB6171_p10:NZ_CP072741.1/CP072741.1; plasmid pVB6171_p2:NZ_CP072733.1/CP072733.1; plasmid pVB6171_p3:NZ_CP072734.1/CP072734.1; plasmid pVB6171_p4:NZ_CP072735.1/CP072735.1; plasmid pVB6171_p5:NZ_CP072736.1/CP072736.1; plasmid pVB6171_p6:NZ_CP072737.1/CP072737.1; plasmid pVB6171_p7:NZ_CP072738.1/CP072738.1; plasmid pVB6171_p8:NZ_CP072739.1/CP072739.1; plasmid pVB6171_p9:NZ_CP072740.1/CP072740.1	-	11	3185	3004	2021/04/11	2022/04/21	Complete Genome	Christian Medical College	SAMN18533763	GCA_017897965.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/897/965/GCA_017897965.1_ASM1789796v1	-	VB6171	3248079
Enterococcus faecium	1352	PRJNA718440	718440	Terrabacteria group	Bacillota	3.24808	37.6727	chromosome:NZ_CP072720.1/CP072720.1; plasmid pVB6521_p1:NZ_CP072721.1/CP072721.1; plasmid pVB6521_p10:NZ_CP072730.1/CP072730.1; plasmid pVB6521_p2:NZ_CP072722.1/CP072722.1; plasmid pVB6521_p3:NZ_CP072723.1/CP072723.1; plasmid pVB6521_p4:NZ_CP072724.1/CP072724.1; plasmid pVB6521_p5:NZ_CP072725.1/CP072725.1; plasmid pVB6521_p6:NZ_CP072726.1/CP072726.1; plasmid pVB6521_p7:NZ_CP072727.1/CP072727.1; plasmid pVB6521_p8:NZ_CP072728.1/CP072728.1; plasmid pVB6521_p9:NZ_CP072729.1/CP072729.1	-	11	3185	3004	2021/04/11	2022/04/21	Complete Genome	Christian Medical College	SAMN18533757	GCA_017898005.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/898/005/GCA_017898005.1_ASM1789800v1	-	VB6521	3248079
uncultured Bacteroidia bacterium	1129257	PRJEB31266	522726	FCB group	Bacteroidota/Chlorobiota group	2.04181	56.2	-	CACVYL01	72	-	-	2020/02/10	2021/02/22	Contig	THE ROSLIN INSTITUTE	SAMEA6148489	GCA_902758375.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/758/375/GCA_902758375.1_Rumen_uncultured_genome_RUG10356	-	RUG10356	2041808
uncultured Bacteroidales bacterium	194843	PRJEB21624	393957	FCB group	Bacteroidota/Chlorobiota group	2.04181	56.2	-	ONTW01	72	-	-	2018/03/19	2018/03/19	Contig	THE ROSLIN INSTITUTE	SAMEA104666421	GCA_900320875.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/320/875/GCA_900320875.1_Rumen_uncultured_genome_RUG634	-	RUG634	2041808
Chitinophagales bacterium	2448779	PRJNA925477	925477	FCB group	Bacteroidota/Chlorobiota group	2.21745	35.5	-	DAOPGQ01	555	2367	2352	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32865086	GCA_035398165.1	-	-	38289113	AMR_MDS_3351	2217445
Chitinophagales bacterium	2448779	PRJNA843551	843551	FCB group	Bacteroidota/Chlorobiota group	2.21745	35.5	-	DAINPL01	555	-	-	2024/02/21	2024/02/21	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28746726	GCA_036743495.1	-	-	37994269	CTOTU18316	2217445
uncultured Methanomethylophilus sp.	1908203	PRJEB21624	393957	Candidatus Thermoplasmatota	Thermoplasmata	1.38868	61	-	OMUQ01	153	-	-	2018/03/19	2018/03/19	Contig	THE ROSLIN INSTITUTE	SAMEA104666450	GCA_900314325.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/325/GCA_900314325.1_Rumen_uncultured_genome_hRUG898	-	hRUG898	1388681
uncultured euryarchaeote	114243	PRJEB31266	522726	Euryarchaeota	environmental samples	1.38868	61	-	CADCRQ01	153	-	-	2020/02/10	2021/02/24	Contig	THE ROSLIN INSTITUTE	SAMEA6153052	GCA_902803895.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/803/895/GCA_902803895.1_Rumen_uncultured_genome_RUG14913	-	RUG14913	1388681
Salmonella enterica	28901	PRJNA879416	879416	Pseudomonadota	Gammaproteobacteria	4.80993	52.3	-	JAOUXJ01	2	4652	4406	2023/11/06	2023/11/07	Contig	Southern University of Science and Technology	SAMN30806935	GCA_033355295.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/355/295/GCA_033355295.1_ASM3335529v1	37065212	S6_Nano	4809930
Salmonella enterica	28901	PRJNA879416	879416	Pseudomonadota	Gammaproteobacteria	4.80993	52.3	-	JAOUXK01	2	4652	4406	2023/11/06	2023/11/07	Contig	Southern University of Science and Technology	SAMN30806934	GCA_033355435.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/355/435/GCA_033355435.1_ASM3335543v1	37065212	S5_Nano	4809930
Salmonella enterica	28901	PRJNA879416	879416	Pseudomonadota	Gammaproteobacteria	4.80993	52.3	-	JAOUXN01	2	4652	4406	2023/11/06	2023/11/07	Contig	Southern University of Science and Technology	SAMN30806931	GCA_033355515.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/355/515/GCA_033355515.1_ASM3335551v1	37065212	S2_Nano	4809930
Klebsiella pneumoniae	573	PRJNA717739	717739	Pseudomonadota	Gammaproteobacteria	5.31163	57.4	-	JAGYBT01	109	5164	4874	2021/09/10	2022/10/13	Contig	Walter Reed Army Institute of Research	SAMN18874770	GCA_019927405.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/927/405/GCA_019927405.1_ASM1992740v1	-	MRSN702261	5311625
Klebsiella pneumoniae	573	PRJNA1078230	1078230	Pseudomonadota	Gammaproteobacteria	5.31163	57.4	-	JBBGFJ01	109	-	-	2024/03/26	2024/03/26	Contig	WRAIR-Africa	SAMN39992654	GCA_037629755.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/629/755/GCF_037629755.1_ASM3762975v1	-	MRSN702261	5311625
Clostridium massiliodielmoense	1776385	PRJEB20368	382516	Terrabacteria group	Bacillota	2.75934	28.4	-	FXLO01	9	2758	2625	2017/04/26	2022/04/01	Contig	IHU - Mediterranee Infection	SAMEA103970043	GCA_900176615.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/176/615/GCA_900176615.1_PRJEB20368	-	MT26	2759335
Clostridium massiliodielmoense	1776385	PRJEB33885	559126	Terrabacteria group	Bacillota	2.75934	28.4	-	CABMJW01	9	2758	2625	2019/08/16	2022/04/02	Contig	EMG	SAMEA5851906	GCA_902386705.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/386/705/GCA_902386705.1_UHGG_MGYG-HGUT-02402	-	MGYG-HGUT-02402	2759335
Staphylococcus aureus	1280	PRJNA1050907	1050907	Terrabacteria group	Bacillota	2.91298	32.7	-	JAXSMQ01	41	2996	2843	2023/12/19	2023/12/22	Contig	KAUST	SAMN38757256	GCA_034497245.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/497/245/GCF_034497245.1_ASM3449724v1	-	N1035	2912985
Staphylococcus aureus	1280	PRJNA1051018	1051018	Terrabacteria group	Bacillota	2.91298	32.7	-	JAXUCS01	41	2996	2843	2023/12/20	2023/12/22	Contig	KAUST	SAMN38759723	GCA_034507025.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/507/025/GCF_034507025.1_ASM3450702v1	-	N1035_1	2912985
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	295319	PRJNA13086	13086	Pseudomonadota	Gammaproteobacteria	4.58523	52.2	chromosome:NC_006511.1/CP000026.1	-	1	4475	4112	2004/11/30	2021/11/10	Complete Genome	Washington University Genome Sequencing Center	SAMN02604316	GCA_000011885.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/885/GCA_000011885.1_ASM1188v1	15531882	ATCC 9150	4585229
Salmonella enterica subsp. enterica serovar Paratyphi A	54388	PRJNA287753	287753	Pseudomonadota	Gammaproteobacteria	4.58523	52.2	chromosome:NZ_CP011967.1/CP011967.1	-	1	4477	4112	2015/07/02	2022/01/23	Chromosome	Third Military Medical University	SAMN03786808	GCA_001045395.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/045/395/GCF_001045395.1_ASM104539v1	-	CMCC50093	4585229
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20090419	1412517	PRJNA219482	219482	Pseudomonadota	Gammaproteobacteria	4.68584	52.2	chromosome:NZ_CP007296.1/CP007296.2	-	1	4491	4225	2014/04/02	2022/09/25	Chromosome	LFZ	SAMN02384238	GCA_000625355.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/625/355/GCA_000625355.2_ASM62535v2	24786953	SA20090419	4685839
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094177	1412479	PRJNA219482	219482	Pseudomonadota	Gammaproteobacteria	4.68584	52.2	chromosome:NZ_CP007468.1/CP007468.2	-	1	4490	4220	2014/04/02	2022/01/23	Chromosome	LFZ	SAMN02384200	GCA_000626515.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/626/515/GCA_000626515.2_ASM62651v2	24786953	SA20094177	4685839
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122033	1412574	PRJNA219482	219482	Pseudomonadota	Gammaproteobacteria	4.68584	52.2	chromosome:NZ_CP007415.2/CP007415.2	-	1	4489	4227	2014/04/01	2022/09/25	Chromosome	LFZ	SAMN02384295	GCA_000625955.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/625/955/GCA_000625955.2_ASM62595v2	24786953	EC20122033	4685839
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120240	1412546	PRJNA219482	219482	Pseudomonadota	Gammaproteobacteria	4.68584	52.2	chromosome:NZ_CP007347.2/CP007347.2	-	1	4491	4224	2014/04/01	2022/09/25	Chromosome	LFZ	SAMN02384267	GCA_000624515.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/515/GCA_000624515.2_ASM62451v2	24786953	EC20120240	4685839
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121976	1412581	PRJNA219482	219482	Pseudomonadota	Gammaproteobacteria	4.68584	52.2	chromosome:NZ_CP007386.2/CP007386.2	-	1	4487	4218	2014/04/01	2022/01/23	Chromosome	LFZ	SAMN02384302	GCA_000625635.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/625/635/GCA_000625635.2_ASM62563v2	24786953	EC20121976	4685839
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20090877	1412521	PRJNA219482	219482	Pseudomonadota	Gammaproteobacteria	4.68584	52.2	chromosome:NZ_CP007300.2/CP007300.2	-	1	4488	4222	2014/04/01	2022/09/25	Chromosome	LFZ	SAMN02384242	GCA_000623815.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/815/GCA_000623815.2_ASM62381v2	24786953	SA20090877	4685839
Klebsiella sp. 98703	3079169	PRJNA1023557	1023557	Pseudomonadota	Gammaproteobacteria	5.80381	57	-	JAWJOY01	127	5861	5608	2024/03/04	2024/03/06	Contig	the First Affiliated Hospital of Medical School	SAMN37663667	GCA_036998105.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/998/105/GCF_036998105.1_ASM3699810v1	38295990	98703	5803813
Klebsiella pneumoniae	573	PRJNA870306	870306	Pseudomonadota	Gammaproteobacteria	5.80381	57	-	JANTDL01	127	-	-	2022/11/13	2022/11/13	Contig	Zhejiang university	SAMN30369304	GCA_026162245.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/162/245/GCF_026162245.1_ASM2616224v1	-	PRKP20	5803813
Tropheryma whipplei str. Neuro1	1293500	PRJEB1430	189522	Terrabacteria group	Actinomycetota	0.927567	46.3	-	CAUD02	1	849	784	2013/03/05	2022/03/16	Scaffold	IHU - Mediterranee Infection	SAMEA2272050	GCA_000346085.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/346/085/GCA_000346085.2_ASM34608v2	-	Neuro1	927567
Tropheryma whipplei str. Endo32	1293897	PRJEB1443	189640	Terrabacteria group	Actinomycetota	0.927567	46.3	-	CAAH02	1	841	775	2013/03/26	2022/03/16	Scaffold	IHU - Mediterranee Infection	SAMEA2272623	GCA_000359165.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/165/GCA_000359165.2_G159	-	Endo32	927567
Streptomyces sp. OspMP-M45	1115570	PRJNA163005	163005	Terrabacteria group	Actinomycetota	7.40792	72.1	-	LACQ01	53	6535	6323	2017/10/23	2022/02/27	Scaffold	DOE Joint Genome Institute	SAMN02746034	GCA_002705695.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/705/695/GCF_002705695.1_ASM270569v1	27276034	OspMP-M45	7407922
Streptomyces sp. SID4925	2690274	PRJNA596543	596543	Terrabacteria group	Actinomycetota	7.40792	72.1	-	WWJJ01	53	6540	6043	2020/01/13	2022/02/05	Scaffold	University of Wisconsin-Madison	SAMN13630841	GCA_009863235.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/863/235/GCF_009863235.1_ASM986323v1	30705269	SID4925	7407922
Streptomyces sp. OspMP-M45	1115570	PRJEB14425	325903	Terrabacteria group	Actinomycetota	7.40792	72.1	-	FLTP01	53	6549	6333	2016/07/08	2022/07/28	Scaffold	DOE - JOINT GENOME INSTITUTE	SAMN02746034	GCA_900090065.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/090/065/GCA_900090065.1_IMG-taxon_2513237100_annotated_assembly	-	OspMP-M45	7407922
Aeromonas popoffii	70856	PRJNA720925	720925	Pseudomonadota	Gammaproteobacteria	4.67619	58.6	-	JAGRZL01	128	4480	4197	2021/04/24	2022/05/13	Contig	University of Connecticut Graf Lab	SAMN18685274	GCA_018138755.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/138/755/GCA_018138755.1_ASM1813875v1	-	ID682	4676189
Aeromonas popoffii	70856	PRJEB71012	1084441	Pseudomonadota	Gammaproteobacteria	4.67619	58.6	-	CAWQDX01	128	-	-	2024/02/29	2024/03/02	Contig	Nanjing Agriculture University	SAMEA115016565	GCA_963893715.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/893/715/GCA_963893715.1_ena-yuan-GCF_018138755.1	-	ena-yuan-GCF_018138755.1	4676189
Escherichia coli	562	PRJNA587532	587532	Pseudomonadota	Gammaproteobacteria	4.63064	50.8	chromosome:NZ_CP091065.1/CP091065.1	-	1	4495	4202	2022/01/23	2022/01/24	Complete Genome	Massey University	SAMN13193109	GCA_021554655.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/554/655/GCA_021554655.1_ASM2155465v1	-	DOC14	4630639
Escherichia coli	562	PRJNA587532	587532	Pseudomonadota	Gammaproteobacteria	4.63064	50.8	chromosome:NZ_CP087136.1/CP087136.1	-	1	4499	4205	2022/04/04	2022/04/06	Complete Genome	Massey University	SAMN13193118	GCA_022811545.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/811/545/GCA_022811545.1_ASM2281154v1	-	JW5503	4630639
Yersinia frederiksenii	29484	PRJEB33414	553746	Pseudomonadota	Gammaproteobacteria	4.56849	47.7	-	CABHYA01	265	4178	3994	2019/07/30	2022/09/27	Contig	INSTITUT PASTEUR	SAMEA5778884	GCA_902170525.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/170/525/GCA_902170525.1_IP38678	-	IP38678	4568487
Yersinia frederiksenii	29484	PRJEB71012	1084441	Pseudomonadota	Gammaproteobacteria	4.56849	47.7	-	CAWRHD01	265	-	-	2024/02/29	2024/03/02	Contig	Nanjing Agriculture University	SAMEA115018971	GCA_963901315.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/901/315/GCA_963901315.1_ena-yuan-GCF_902170525.1	-	ena-yuan-GCF_902170525.1	4568487
uncultured Akkermansia sp.	512294	PRJEB32890	548304	PVC group	Verrucomicrobiota	1.43813	57	-	CASZAB01	462	-	-	2023/03/07	2023/03/09	Contig	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	SAMEA112731331	GCA_949487645.1	-	-	-	extra-SRR7762566.20_1677802289	1438126
uncultured Akkermansia sp.	512294	PRJEB32890	548304	PVC group	Verrucomicrobiota	1.43813	57	-	CATIHT01	462	-	-	2023/03/07	2023/03/09	Contig	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	SAMEA112730737	GCA_949551625.1	-	-	-	extra-SRR7761321.18_1677801456	1438126
Klebsiella pneumoniae	573	PRJNA806574	806574	Pseudomonadota	Gammaproteobacteria	5.55256	57.3	-	JAKRAC01	108	5573	5370	2022/11/10	2022/11/12	Contig	Peking University Third Hospital	SAMN25889437	GCA_026128735.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/128/735/GCF_026128735.1_ASM2612873v1	36207674	PEkp097	5552561
Klebsiella pneumoniae	573	PRJNA838135	838135	Pseudomonadota	Gammaproteobacteria	5.55256	57.3	-	JAMFZX01	108	-	-	2022/11/15	2022/11/15	Contig	Peking University Third Hospital	SAMN28408344	GCA_026198575.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/198/575/GCF_026198575.1_ASM2619857v1	36262596	126	5552561
Staphylococcus sp. SNAZ 59	2509673	PRJNA516047	516047	Terrabacteria group	Bacillota	2.69034	32.4	-	SDRD01	104	2687	2518	2019/02/02	2022/03/08	Contig	MJIIT	SAMN10781789	GCA_004135025.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/025/GCF_004135025.1_ASM413502v1	-	SNAZ 59	2690341
Staphylococcus sp. S59	2801882	PRJNA689868	689868	Terrabacteria group	Bacillota	2.69034	32.4	-	JAERHB01	104	2685	2464	2021/01/19	2022/01/28	Contig	Universiti Teknologi Malaysia	SAMN17221389	GCA_016723005.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/723/005/GCA_016723005.1_ASM1672300v1	-	S59	2690341
Piscirickettsia salmonis	1238	PRJNA306730	306730	Pseudomonadota	Gammaproteobacteria	3.5156	39.8346	chromosome 1:NZ_CP013811.1/CP013811.1; plasmid p1PS11:NZ_CP013812.1/CP013812.1; plasmid p2PS11:NZ_CP013813.1/CP013813.1; plasmid p3PS11:NZ_CP013814.1/CP013814.1; plasmid p4PS11:NZ_CP013815.1/CP013815.1	-	5	3696	3400	2017/01/04	2022/10/09	Complete Genome	ADL Diagnostic Chile Ltda	SAMN04376266	GCA_001932935.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/932/935/GCF_001932935.1_ASM193293v1	-	AY3864B	3515597
Piscirickettsia salmonis	1238	PRJNA306730	306730	Pseudomonadota	Gammaproteobacteria	3.5156	39.8346	chromosome 1:NZ_CP013816.1/CP013816.1; plasmid p1PS10:NZ_CP013817.1/CP013817.1; plasmid p2PS10:NZ_CP013818.1/CP013818.1; plasmid p3PS10:NZ_CP013819.1/CP013819.1; plasmid p4PS10:NZ_CP013820.1/CP013820.1	-	5	3694	3398	2016/09/26	2022/10/09	Complete Genome	ADL Diagnostic Chile Ltda	SAMN04376258	GCA_001746795.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/746/795/GCF_001746795.1_ASM174679v1	-	AY3800B	3515597
Quadrisphaera granulorum	317664	PRJEB22290	400897	Terrabacteria group	Actinomycetota	4.88441	72.6	-	UNSG01	86	4591	4464	2018/09/14	2022/04/19	Contig	DOE - JOINT GENOME INSTITUTE	SAMN06264364	GCA_900218025.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/218/025/GCA_900218025.1_IMG-taxon_2724679791_annotated_assembly	-	DSM 44889	4884413
Quadrisphaera granulorum	317664	PRJNA363536	363536	Terrabacteria group	Actinomycetota	4.88441	72.6	-	QGDQ01	86	4591	4464	2018/05/22	2022/05/12	Contig	DOE Joint Genome Institute	SAMN06264364	GCA_003149145.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/149/145/GCF_003149145.1_ASM314914v1	-	DSM 44889	4884413
Bacteroidales bacterium	2030927	PRJNA925477	925477	FCB group	Bacteroidota/Chlorobiota group	2.77564	45.8	-	DAOOYG01	213	2317	2285	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32865304	GCA_035393905.1	-	-	38289113	AMR_MDS_3569	2775641
Bacteroidales bacterium	2030927	PRJNA843551	843551	FCB group	Bacteroidota/Chlorobiota group	2.77564	45.8	-	DAISQJ01	213	-	-	2024/02/23	2024/02/23	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28750817	GCA_036829455.1	-	-	37994269	CTOTU18534	2775641
Escherichia coli	562	PRJNA822011	822011	Pseudomonadota	Gammaproteobacteria	5.40916	50.5	-	JAMGWS01	237	5398	5080	2022/05/23	2022/05/26	Contig	Zhejiang Academy of Agricultural Sciences	SAMN27592184	GCA_023534485.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/534/485/GCA_023534485.1_ASM2353448v1	-	LS48	5409156
Escherichia coli	562	PRJNA822011	822011	Pseudomonadota	Gammaproteobacteria	5.40916	50.5	-	JAMGXZ01	237	5398	5080	2022/05/23	2022/05/26	Contig	Zhejiang Academy of Agricultural Sciences	SAMN27409181	GCA_023535215.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/535/215/GCA_023535215.1_ASM2353521v1	-	LS48	5409156
Bordetella pertussis	520	PRJNA279196	279196	Pseudomonadota	Betaproteobacteria	4.10742	67.7	chromosome:NZ_CP013094.1/CP013094.1	-	1	3997	3682	2017/02/06	2022/10/09	Complete Genome	Centers for Disease Control and Prevention	SAMN04221198	GCA_001988415.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/988/415/GCF_001988415.1_ASM198841v1	28167525	J197	4107421
Bordetella pertussis	520	PRJNA279196	279196	Pseudomonadota	Betaproteobacteria	4.10742	67.7	chromosome:NZ_CP026434.1/CP026434.1	-	1	3972	3652	2019/04/05	2022/01/01	Complete Genome	Centers for Disease Control and Prevention	SAMN08395636	GCA_004634865.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/634/865/GCF_004634865.1_ASM463486v1	31744907	J357	4107421
Pelagibacteraceae bacterium AG-337-G06	2162032	PRJNA445865	445865	Pseudomonadota	Alphaproteobacteria	1.27086	33.5	-	QBZX01	20	-	-	2018/06/28	2018/09/11	Contig	Massachusetts Institute of Technology	SAMN08886082	GCA_003282175.1	-	-	30179231	AG-337-G06	1270863
uncultured Pelagibacteraceae bacterium	1667051	PRJEB33281	572885	Pseudomonadota	Alphaproteobacteria	1.27086	33.5	-	CABZHN01	20	-	-	2019/10/25	2021/03/01	Contig	WOODS HOLE OCEANOGRAPHIC INSTITUTION	SAMEA6077904	GCA_902525645.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/525/645/GCA_902525645.1_AG-337-G06	-	AG-337-G06	1270863
uncultured Bacteroidia bacterium	1129257	PRJEB31266	522726	FCB group	Bacteroidota/Chlorobiota group	3.23592	49.9	-	CACVRU01	93	-	-	2020/02/10	2021/02/22	Scaffold	THE ROSLIN INSTITUTE	SAMEA6148309	GCA_902756635.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/756/635/GCA_902756635.1_Rumen_uncultured_genome_RUG10176	-	RUG10176	3235920
uncultured Bacteroidales bacterium	194843	PRJEB21624	393957	FCB group	Bacteroidota/Chlorobiota group	3.23592	49.9	-	ONJF01	93	-	-	2018/03/19	2018/03/19	Scaffold	THE ROSLIN INSTITUTE	SAMEA104666367	GCA_900318085.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/318/085/GCA_900318085.1_Rumen_uncultured_genome_RUG358	-	RUG358	3235920
uncultured Eubacteriales bacterium	172733	PRJEB59335	931538	Terrabacteria group	Bacillota	1.78087	44.2	-	CAPXTJ01	52	-	-	2023/02/03	2023/02/04	Scaffold	UNIVERSITY OF CAMBRIDGE	SAMEA112409331	GCA_948735875.1	-	-	-	MGBC136669	1780870
uncultured Eubacteriales bacterium	172733	PRJEB59335	931538	Terrabacteria group	Bacillota	1.78087	44.2	-	CARVDT01	52	-	-	2023/02/03	2023/02/04	Scaffold	UNIVERSITY OF CAMBRIDGE	SAMEA112409782	GCA_949080735.1	-	-	-	MGBC137123	1780870
uncultured Bacteroidia bacterium	1129257	PRJEB31266	522726	FCB group	Bacteroidota/Chlorobiota group	2.04472	52.9	-	CACVSJ01	29	-	-	2020/02/10	2021/02/22	Scaffold	THE ROSLIN INSTITUTE	SAMEA6148327	GCA_902756795.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/756/795/GCA_902756795.1_Rumen_uncultured_genome_RUG10194	-	RUG10194	2044722
uncultured Bacteroidales bacterium	194843	PRJEB21624	393957	FCB group	Bacteroidota/Chlorobiota group	2.04472	52.9	-	ONXC01	29	-	-	2018/03/19	2018/03/19	Scaffold	THE ROSLIN INSTITUTE	SAMEA104666436	GCA_900321715.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/321/715/GCA_900321715.1_Rumen_uncultured_genome_RUG722	-	RUG722	2044722
Candidatus Uhrbacteria bacterium RIFOXYB12_FULL_58_10	1802418	PRJEB35640	854407	Bacteria incertae sedis	Bacteria candidate phyla	0.916874	44.8	-	CALRGL01	85	-	-	2022/06/30	2022/07/07	Contig	BIOLOGY CENTRE ASCR, V.V.I., INSTITUTE OF HYDROBIO	SAMEA14306574	GCA_943357275.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/943/357/275/GCA_943357275.1_ZH-bin-156	-	ZH-bin-156	916874
Candidatus Uhrbacteria bacterium	2053634	PRJEB35770	595687	Bacteria incertae sedis	Bacteria candidate phyla	0.916874	44.8	-	CANMJX01	85	-	-	2022/12/01	2022/12/02	Contig	BIOLOGY CENTRE ASCR, V.V.I., INSTITUTE OF HYDROBIO	SAMEA112176766	GCA_947498255.1	-	-	-	ZH-15may19-156	916874
uncultured Erysipelotrichaceae bacterium	331630	PRJEB21624	393957	Terrabacteria group	Bacillota	1.32426	31.1	-	ONAT01	39	-	-	2018/03/19	2018/03/19	Contig	THE ROSLIN INSTITUTE	SAMEA104666763	GCA_900315885.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/315/885/GCA_900315885.1_Rumen_uncultured_genome_RUG131	-	RUG131	1324263
