Assembly Accession	Actual Size
GCA_004009215.1	4106670
GCA_001605605.1	4106666
GCA_902364065.1	2580820
GCA_003458855.1	2580820
GCA_009915865.1	3756868
GCA_963896215.1	3756868
GCA_036987495.1	2111649
GCA_016585725.1	2111646
GCA_002775835.1	2986900
GCA_002775995.1	2986900
GCA_009816195.1	1790046
GCA_009815935.1	1790048
GCA_023806225.1	6356835
GCA_023806425.1	6356835
GCA_024179265.1	6356835
GCA_004635645.1	4107132
GCA_002442655.1	4107128
GCA_023338425.1	5108453
GCA_023338345.1	5108452
GCA_900761895.1	2635273
GCA_902484095.1	2635273
GCA_900319205.1	2626742
GCA_902755705.1	2626742
GCA_009707205.1	4367485
GCA_014493605.1	4367485
GCA_003241585.1	8374384
GCA_003241635.1	8374384
GCA_902759435.1	1873893
GCA_900314735.1	1873893
GCA_002531855.1	7268818
GCA_002914525.1	7268818
GCA_009915345.1	3769170
GCA_963886875.1	3769170
GCA_949429765.1	1537209
GCA_949478665.1	1537209
GCA_949523215.1	1537209
GCA_902757385.1	2323383
GCA_900316335.1	2323383
GCA_948852815.1	2127343
GCA_949096005.1	2127343
GCA_949506275.1	2078493
GCA_949535735.1	2078493
GCA_015656715.1	2044524
GCA_904501885.1	2044524
GCA_900236525.1	3295083
GCA_900236335.1	3295083
GCA_900236355.1	3295079
GCA_035395205.1	391044
GCA_036743335.1	391044
GCA_948892665.1	2567898
GCA_948917635.1	2567898
GCA_019780135.1	3090338
GCA_028745765.1	3090338
GCA_004635865.1	4112682
GCA_001988915.1	4112678
GCA_001989215.1	4108659
GCA_001989315.1	4108658
GCA_004009315.1	4106328
GCA_001986875.1	4106327
GCA_002442715.1	4106326
GCA_000791825.1	6380431
GCA_000794625.1	6380431
GCA_018618015.1	2802712
GCA_018618035.1	2802708
GCA_948824055.1	2332838
GCA_948942995.1	2332838
GCA_949429075.1	1990164
GCA_949461605.1	1990164
GCA_949462185.1	1990164
GCA_034497405.1	2854232
GCA_034506975.1	2854232
GCA_001007025.1	1228125
GCA_001007105.1	1228123
GCA_004570415.1	2860887
GCA_015234955.1	2860887
GCA_900315015.1	2800133
GCA_902755205.1	2800133
GCA_001854085.1	3343822
GCA_902386435.1	3343822
GCA_003215055.1	923408
GCA_902566655.1	923408
GCA_034015095.1	2556042
GCA_034016795.1	2556042
GCA_003283045.1	786008
GCA_902514925.1	786008
GCA_900552805.1	1514881
GCA_902479605.1	1514881
GCA_024732365.1	4810445
GCA_024732345.1	4810435
GCA_003859325.1	5115070
GCA_009823055.1	5115070
GCA_902387145.1	1854434
GCA_002165855.1	1854434
GCA_023756885.1	5745692
GCA_024260585.1	5745692
GCA_024519245.1	5745692
GCA_025456465.1	5745692
GCA_948645355.1	1951475
GCA_948677765.1	1951475
GCA_038385395.1	1838577
GCA_038386885.1	1838577
GCA_038388625.1	1838577
GCA_038390225.1	1838577
GCA_038390915.1	1838577
GCA_003627235.1	2015501
GCA_003627875.1	2015495
GCA_900768405.1	2443711
GCA_902486395.1	2443711
GCA_003947375.1	4974499
GCA_963881385.1	4974499
GCA_020097235.1	5022873
GCA_020099235.1	5022873
GCA_020099255.1	5022873
GCA_002859685.1	4104273
GCA_022409375.1	4104272
GCA_032286425.1	4104270
GCA_004635945.1	4104267
GCA_036736565.1	2008359
GCA_035394665.1	2008359
GCA_902756915.1	2294010
GCA_900315935.1	2294010
GCA_013371365.1	2895802
GCA_013371415.1	2895802
GCA_015556685.1	4496427
GCA_028329405.1	4496427
GCA_011771275.1	3238322
GCA_011773655.1	3238322
GCA_902803945.1	3144759
GCA_900314005.1	3144759
GCA_002241285.1	3849935
GCA_963875205.1	3849935
GCA_013112585.1	4942932
GCA_016743495.1	4942932
GCA_900538535.1	2223689
GCA_902481465.1	2223689
GCA_900554495.1	1922704
GCA_902481925.1	1922704
GCA_900079135.1	3234289
GCA_900070335.1	3234289
GCA_902486665.1	870958
GCA_900769165.1	870958
GCA_018799025.1	5392094
GCA_019271875.1	5392094
GCA_019271955.1	5392094
GCA_019271975.1	5392094
GCA_019271995.1	5392094
GCA_019272015.1	5392094
GCA_019272035.1	5392094
GCA_019272055.1	5392094
GCA_019272075.1	5392094
GCA_019272095.1	5392094
GCA_019272155.1	5392094
GCA_019272235.1	5392094
GCA_019272355.1	5392094
GCA_019272405.1	5392094
GCA_019272495.1	5392094
GCA_019272575.1	5392094
GCA_019272675.1	5392094
GCA_019272715.1	5392094
GCA_019272755.1	5392094
GCA_019272775.1	5392094
GCA_019272795.1	5392094
GCA_019272815.1	5392094
GCA_019272835.1	5392094
GCA_019272855.1	5392094
GCA_019272875.1	5392094
GCA_019272895.1	5392094
GCA_019271115.1	5392094
GCA_019273715.1	5392094
GCA_019270795.1	5392094
GCA_019271075.1	5392094
GCA_019270995.1	5392094
GCA_019271055.1	5392094
GCA_019270695.1	5392094
GCA_023534535.1	5395654
GCA_023535205.1	5395654
GCA_004343545.1	5577610
GCA_963881165.1	5577610
GCA_006376225.1	3209246
GCA_023006615.1	3209246
GCA_943789195.1	3250518
GCA_943842505.1	3250518
GCA_900315585.1	2768493
GCA_902755575.1	2768493
GCA_000438455.1	1509734
GCA_902375165.1	1509734
GCA_949541285.1	1247667
GCA_949550305.1	1247667
GCA_015688845.1	1866166
GCA_904501895.1	1866166
GCA_037727755.1	1692340
GCA_037733045.1	1692337
GCA_030131125.1	4040795
GCA_030131025.1	4040795
GCA_945830655.1	1129533
GCA_945869665.1	1129533
GCA_035394945.1	2715540
GCA_036817325.1	2715540
GCA_023716705.1	5023509
GCA_023716545.1	5023509
GCA_035405525.1	3978773
GCA_036834385.1	3978773
GCA_900769195.1	1280127
GCA_902486605.1	1280127
GCA_902757745.1	2785289
GCA_900316215.1	2785289
GCA_900086585.1	4661482
GCA_902375995.1	4661482
GCA_900313765.1	2203536
GCA_902759045.1	2203536
GCA_948786495.1	3723648
GCA_949028365.1	3723648
GCA_012037005.1	2254971
GCA_013344265.1	2254971
GCA_900766815.1	1683805
GCA_902485675.1	1683805
GCA_903879285.1	7943034
GCA_905232265.1	7943034
GCA_902202835.1	6962280
GCA_963900995.1	6962280
GCA_013048585.1	3980405
GCA_963888495.1	3980405
GCA_000952155.1	5265703
GCA_963866605.1	5265703
GCA_902483705.1	2096251
GCA_900760885.1	2096251
GCA_949487585.1	1307695
GCA_949540795.1	1307695
GCA_900556405.1	1973013
GCA_902481365.1	1973013
GCA_949505995.1	3556163
GCA_949553155.1	3556163
GCA_000576305.1	4961801
GCA_001315125.1	4961801
GCA_003477705.1	2953222
GCA_902364385.1	2953222
GCA_002839545.1	1995263
GCA_026552815.1	1995263
GCA_028549675.1	4019433
GCA_028549915.1	4019425
GCA_028550035.1	4019429
GCA_028550075.1	4019432
GCA_009739695.1	2899723
GCA_009739675.1	2899718
GCA_001987115.1	4107454
GCA_001987815.1	4107448
GCA_004007625.1	4107445
GCA_002762215.1	6398100
GCA_002116905.1	6398096
GCA_900546515.1	2307981
GCA_902479575.1	2307981
GCA_947496105.1	4475435
GCA_947503735.1	4475435
GCA_947503935.1	4475435
GCA_900489785.1	1085504
GCA_900489795.1	1085503
GCA_003858975.1	4993247
GCA_009823115.1	4993247
GCA_002209025.1	1641468
GCA_000830825.1	1641471
GCA_000830845.1	1641469
GCA_003469355.1	2471397
GCA_902366535.1	2471397
GCA_900764865.1	2583592
GCA_902484795.1	2583592
GCA_016881865.1	2932173
GCA_016882045.1	2932174
GCA_003573655.1	8655042
GCA_024704855.1	8655042
GCA_900539915.1	2162791
GCA_902483225.1	2162791
GCA_023534665.1	5438279
GCA_023535395.1	5438279
GCA_001702095.1	2058319
GCA_902386585.1	2058319
GCA_030548785.1	2996367
GCA_018861145.1	2996367
GCA_011774365.1	2238320
GCA_011777245.1	2238320
GCA_008867915.1	5188638
GCA_009746165.1	5188638
GCA_019249415.1	5188638
GCA_006348835.1	1578222
GCA_006348885.1	1578216
GCA_949503335.1	2180489
GCA_949551125.1	2180489
GCA_008085795.1	2110643
GCA_002162175.1	2110642
GCA_901212365.1	4542840
GCA_963900445.1	4542840
GCA_900319125.1	2023784
GCA_902758875.1	2023784
GCA_003214555.1	466341
GCA_902569125.1	466341
GCA_006364035.1	2992056
GCA_040235205.1	2992056
GCA_001418345.1	2437751
GCA_001517265.1	2437751
GCA_019130275.1	3772123
GCA_019130315.1	3772119
GCA_900760905.1	2174245
GCA_902483635.1	2174245
GCA_009916025.1	3843049
GCA_963896135.1	3843049
GCA_035435665.1	2960311
GCA_036754725.1	2960311
GCA_015354985.1	2593393
GCA_036400915.1	2593393
GCA_902364885.1	2328499
GCA_003469285.1	2328499
GCA_005773845.1	2483928
GCA_005937555.1	2483928
GCA_000625415.2	4685845
GCA_000624375.2	4685845
GCA_000624935.2	4685844
GCA_000625175.2	4685843
GCA_000624195.2	4685836
GCA_000626135.2	4685838
GCA_000625375.2	4685841
GCA_000625315.2	4685842
GCA_000624215.2	4685843
GCA_000625015.2	4685845
GCA_000625275.2	4685838
GCA_000625515.2	4685845
GCA_000625615.2	4685843
GCA_000625695.2	4685841
GCA_000625595.2	4685838
GCA_000623495.2	4685838
GCA_000623955.2	4685841
GCA_000624475.2	4685842
GCA_000625035.2	4685845
GCA_000625235.2	4685838
GCA_000625355.2	4685839
GCA_000625395.2	4685841
GCA_000623935.2	4685844
GCA_000624095.2	4685842
GCA_000624295.2	4685845
GCA_000624735.2	4685840
GCA_000625055.2	4685845
GCA_000625475.2	4685843
GCA_000624915.2	4685843
GCA_000625495.2	4685840
GCA_000624115.2	4685836
GCA_000624015.2	4685841
GCA_000624555.2	4685845
GCA_000623215.2	4685841
GCA_000626475.2	4685836
GCA_000624815.2	4685840
GCA_000623855.2	4685836
GCA_000625075.2	4685836
GCA_000623895.2	4685845
GCA_000624895.2	4685838
GCA_000626035.2	4685836
GCA_000626495.2	4685836
GCA_000626515.2	4685839
GCA_000625955.2	4685839
GCA_000624235.2	4685844
GCA_000624835.2	4685838
GCA_000623975.2	4685842
GCA_000624035.2	4685841
GCA_000626555.2	4685842
GCA_000625335.2	4685838
GCA_000623155.2	4685841
GCA_000623835.2	4685841
GCA_000624515.2	4685839
GCA_000625635.2	4685839
GCA_000624135.2	4685844
GCA_000625975.2	4685841
GCA_000968775.2	4685841
GCA_000623815.2	4685839
GCA_000623995.2	4685844
GCA_036884645.1	5236208
GCA_036884755.1	5236208
GCA_014467075.1	3590719
GCA_014131675.1	3590716
GCA_009659535.1	6926196
GCA_015354265.1	6926196
GCA_013043295.1	1167840
GCA_018680225.1	1167840
GCA_016650465.1	6269793
GCA_016650825.1	6269793
GCA_016650535.1	6269793
GCA_016650725.1	6269793
GCA_016650735.1	6269793
GCA_016650745.1	6269793
GCA_016650765.1	6269793
GCA_016651045.1	6269793
GCA_016651205.1	6269793
GCA_902760245.1	2250450
GCA_900315715.1	2250450
GCA_035441445.1	1480656
GCA_036827385.1	1480656
GCA_900709235.2	4340976
GCA_900709245.2	4340976
GCA_005472495.1	1847213
GCA_005472715.1	1847213
GCA_013694015.1	4685872
GCA_016106135.1	4685872
GCA_000373405.1	8075580
GCA_009872615.1	8075580
GCA_003213515.1	1223742
GCA_902574605.1	1223742
GCA_000011885.1	4585229
GCA_001045395.1	4585229
GCA_015355035.1	2593384
GCA_036400895.1	2593384
GCA_900761995.1	2233075
GCA_902484035.1	2233075
GCA_902487955.1	933712
GCA_900771395.1	933712
GCA_002448095.1	4411314
GCA_002446915.1	4411312
GCA_002448175.1	4411310
GCA_002447295.1	4411306
GCA_014217175.1	4411308
GCA_003710445.1	2952075
GCA_003710685.1	2952075
GCA_001855945.1	4395702
GCA_001845085.1	4395703
GCA_900765575.1	3495834
GCA_902484985.1	3495834
GCA_013041825.1	2162884
GCA_018677475.1	2162884
GCA_013114435.1	5278385
GCA_963889515.1	5278385
GCA_902364755.1	3784784
GCA_003480695.1	3784784
GCA_009746145.1	5415482
GCA_013187635.1	5415482
GCA_900120565.1	4368277
GCA_900124175.1	4368280
GCA_035404685.1	1657498
GCA_036733165.1	1657498
GCA_000375725.1	7564593
GCA_009863265.1	7564593
GCA_033191195.1	3841318
GCA_033190675.1	3841316
GCA_902483765.1	1949652
GCA_900760575.1	1949652
GCA_003282985.1	1024954
GCA_902515425.1	1024954
GCA_900316715.1	2844414
GCA_902757355.1	2844414
GCA_900080555.1	2737101
GCA_900083335.1	2737102
GCA_902387215.1	2621983
GCA_003402575.1	2621983
GCA_900240205.1	3898073
GCA_901484875.1	3898073
GCA_003311815.1	4050103
GCA_963878005.1	4050103
GCA_019265105.1	5033927
GCA_019265085.1	5033927
GCA_019265065.1	5033927
GCA_019711235.1	5033927
GCA_902757875.1	1680784
GCA_900317385.1	1680784
GCA_001048495.1	5597818
GCA_963865535.1	5597818
GCA_001929565.1	2387582
GCA_001930385.1	2387582
GCA_963993185.1	4405232
GCA_963993275.1	4405232
GCA_008692555.1	2678495
GCA_963887175.1	2678495
GCA_900554625.1	2131833
GCA_902482075.1	2131833
GCA_900317105.1	2786494
GCA_902756765.1	2786494
GCA_949486855.1	2660227
GCA_949523705.1	2660227
GCA_000829905.1	2850586
GCA_902375445.1	2850586
GCA_035435385.1	2210049
GCA_036818005.1	2210049
GCA_036999505.1	5787580
GCA_026163975.1	5787580
GCA_900320205.1	2331419
GCA_902758525.1	2331419
GCA_949282015.1	1711097
GCA_949282045.1	1711096
GCA_000817045.1	1958651
GCA_902387355.1	1958651
GCA_005845245.1	4609219
GCA_015553745.1	4609219
GCA_902385505.1	2254676
GCA_003438785.1	2254676
GCA_000148995.1	2598321
GCA_902373705.1	2598321
GCA_021404315.1	4430678
GCA_022097085.1	4430678
GCA_032276425.1	4102192
GCA_000193595.3	4102186
GCA_015657045.1	1777024
GCA_904501755.1	1777024
GCA_035520535.1	4174311
GCA_036789925.1	4174311
GCA_023655525.1	2779484
GCA_023655675.1	2779484
GCA_023655405.1	2779477
GCA_003480255.1	2159993
GCA_902364965.1	2159993
GCA_034497245.1	2912985
GCA_034507025.1	2912985
GCA_949459345.1	3772374
GCA_949461665.1	3772374
GCA_037055875.1	4605723
GCA_037061485.1	4605718
GCA_033042155.1	2056757
GCA_001329455.1	2056762
GCA_000308855.1	6785212
GCA_963861485.1	6785212
GCA_001049895.1	2843796
GCA_902375525.1	2843796
GCA_900318555.1	3258646
GCA_902757425.1	3258646
GCA_031456005.1	5612871
GCA_031456995.1	5612867
GCA_949516235.1	1455567
GCA_949534005.1	1455567
GCA_000628665.1	1830843
GCA_000628385.1	1830836
GCA_900319035.1	2484868
GCA_902755735.1	2484868
GCA_900553175.1	1454145
GCA_902481785.1	1454145
GCA_035398805.1	2510765
GCA_036772195.1	2510765
GCA_902480235.1	2223395
GCA_900539045.1	2223395
GCA_035404665.1	2688910
GCA_036827365.1	2688910
GCA_002895145.1	3286445
GCA_000008145.1	3286445
GCA_016807475.1	1617108
GCA_021890275.1	1617108
GCA_001969405.1	3439440
GCA_001989475.1	3439438
GCA_902375195.1	2284954
GCA_000479265.1	2284954
GCA_002056235.1	4729916
GCA_001356135.1	4729919
GCA_003859815.1	2637021
GCA_003860215.1	2637021
GCA_003213675.1	875006
GCA_902571695.1	875006
GCA_015656415.1	1985416
GCA_904502015.1	1985416
GCA_012225445.1	1612572
GCA_012225685.1	1612567
GCA_018802245.1	3310423
GCA_902829275.1	3310423
GCA_001691275.1	5535903
GCA_963869885.1	5535903
GCA_022068225.1	2153840
GCA_040687945.1	2153837
GCA_003403135.1	4909058
GCA_018361125.1	4909063
GCA_018361065.1	4909059
GCA_018361105.1	4909059
GCA_018361145.1	4909059
GCA_018361185.1	4909059
GCA_018361205.1	4909059
GCA_018361225.1	4909059
GCA_018361245.1	4909059
GCA_002213805.1	2910922
GCA_002213825.1	2910921
GCA_010590485.1	5197038
GCA_963887885.1	5197038
GCA_020052295.1	1047239
GCA_020061265.1	1047239
GCA_035323345.1	3400396
GCA_036804685.1	3400396
GCA_034651435.1	4890530
GCA_036039615.1	4890530
GCA_949519515.1	1700482
GCA_949530395.1	1700482
GCA_002632485.1	4575308
GCA_963876265.1	4575308
GCA_001641755.2	3643020
GCA_001507605.1	3643020
GCA_001855255.1	4402033
GCA_000656855.1	4402031
GCA_008274275.1	5661349
GCA_015645825.1	5661349
GCA_033658285.1	2798442
GCA_033659585.1	2798442
GCA_900765975.1	2652700
GCA_902487565.1	2652700
GCA_005781255.1	4899277
GCA_963883145.1	4899277
GCA_013295145.1	6140068
GCA_013297255.1	6140068
GCA_013294225.1	6140067
GCA_003097315.1	4985720
GCA_963878705.1	4985720
GCA_900217165.1	3460249
GCA_902386485.1	3460249
GCA_003672555.1	1758403
GCA_013329925.1	1758403
GCA_900769445.1	1966624
GCA_902486915.1	1966624
GCA_900317615.1	2346441
GCA_902757405.1	2346441
GCA_001875645.1	4981029
GCA_000805795.1	4981029
GCA_035396785.1	2904765
GCA_036725075.1	2904765
GCA_030644125.1	2798464
GCA_030644165.1	2798460
GCA_037083585.1	4523964
GCA_037083525.1	4523964
GCA_008462025.1	2338159
GCA_006974065.1	2338156
GCA_949516145.1	1613740
GCA_949533945.1	1613740
GCA_039677875.1	3847786
GCA_039677805.1	3847794
GCA_002881535.1	1841963
GCA_002882275.1	1841962
GCA_023534045.1	4887773
GCA_023534905.1	4887773
GCA_001986355.1	4106504
GCA_001987755.1	4106503
GCA_001605525.1	4106502
GCA_001985525.1	4106501
GCA_001986215.1	4106500
GCA_001986835.1	4106500
GCA_001986315.1	4106497
GCA_004009235.1	4106497
GCA_032739145.1	5477211
GCA_035020205.1	5477211
GCA_023534385.1	5452681
GCA_023535105.1	5452681
GCA_003281865.1	1340335
GCA_902530585.1	1340335
GCA_040404775.1	1139611
GCA_030028295.2	1139609
GCA_009704235.1	744608
GCA_947459775.1	744608
GCA_900555455.1	4940098
GCA_902482975.1	4940098
GCA_024396475.1	5065748
GCA_024396495.1	5065747
GCA_009762615.1	2334827
GCA_000144935.3	2334828
GCA_024969505.1	2444495
GCA_024969545.1	2444491
GCA_024969445.1	2444489
GCA_024968705.1	2444487
GCA_016612285.1	2878675
GCA_021198215.1	2878668
GCA_000732035.1	6415108
GCA_000751155.1	6415108
GCA_003050205.1	5380622
GCA_963878805.1	5380622
GCA_900177565.1	4101091
GCA_001649495.1	4101091
GCA_016019905.1	4889295
GCA_016722795.1	4889295
GCA_016792205.1	4889295
GCA_002807945.1	4042529
GCA_002808405.1	4042531
GCA_001457875.1	2458350
GCA_902375775.1	2458350
GCA_015354785.1	2333082
GCA_036400635.1	2333082
GCA_902170795.1	4580138
GCA_963900165.1	4580138
GCA_900770705.1	1994731
GCA_902487595.1	1994731
GCA_000746985.1	4788109
GCA_963864655.1	4788109
GCA_949533595.1	2103579
GCA_949544635.1	2103579
GCA_002876465.1	5542839
GCA_963877835.1	5542839
GCA_902170245.1	4671117
GCA_963900675.1	4671117
GCA_900542275.1	2107327
GCA_902481135.1	2107327
GCA_009913655.1	3223643
GCA_009913635.1	3223644
GCA_009913615.1	3223642
GCA_003475685.1	4537596
GCA_902364335.1	4537596
GCA_012933055.2	3206679
GCA_014874615.1	3206679
GCA_017898025.1	3206679
GCA_018847415.1	3119572
GCA_018847075.1	3119569
GCA_028892635.1	4930521
GCA_028893475.1	4930520
GCA_024498695.1	4889381
GCA_024498755.1	4889381
GCA_024498795.1	4889381
GCA_000187895.1	4421924
GCA_902374375.1	4421924
GCA_900318305.1	2316693
GCA_902759935.1	2316693
GCA_003312995.1	4697885
GCA_902387865.1	4697885
GCA_035328565.1	5470220
GCA_036846615.1	5470220
GCA_014235365.1	6775059
GCA_014235375.1	6775059
GCA_009767255.1	5136547
GCA_009793525.1	5136547
GCA_021327895.1	2820368
GCA_040529645.1	2820368
GCA_900105665.1	4814885
GCA_001692855.1	4814885
GCA_023534375.1	5459035
GCA_023535045.1	5459035
GCA_003185995.1	3663966
GCA_963878025.1	3663966
GCA_000469305.1	1946426
GCA_902375185.1	1946426
GCA_902759025.1	2451988
GCA_900316865.1	2451988
GCA_002447155.1	4411217
GCA_002447095.1	4411215
GCA_000954155.1	4411216
GCA_001276195.1	6719392
GCA_002146595.1	6719392
GCA_003626735.1	3968731
GCA_018613975.1	3968731
GCA_900770165.1	2356172
GCA_902487325.1	2356172
GCA_948601995.1	2309900
GCA_948947665.1	2309900
GCA_949099765.1	2309900
GCA_035441685.1	3309392
GCA_036752805.1	3309392
GCA_009814835.1	1788550
GCA_009815045.1	1788546
GCA_009816945.1	1788552
GCA_013112535.1	3050554
GCA_016743465.1	3050554
GCA_035337775.1	2450144
GCA_036795975.1	2450144
GCA_003439315.1	2244779
GCA_902385385.1	2244779
GCA_004636365.1	4106495
GCA_001986695.1	4106491
GCA_001605115.1	4106490
GCA_009807135.1	2076301
GCA_013623465.1	2076301
GCA_902760195.1	797426
GCA_900320735.1	797426
GCA_001275545.2	2116811
GCA_002197265.1	2116811
GCA_002197245.1	2116810
GCA_002197425.1	2116810
GCA_900555815.1	1434744
GCA_902480215.1	1434744
GCA_039645535.1	2016721
GCA_037891825.1	2016716
GCA_035404885.1	3688192
GCA_036759025.1	3688192
GCA_900116635.1	3182127
GCA_963899695.1	3182127
GCA_003478995.1	3124708
GCA_902364075.1	3124708
GCA_035441485.1	1017599
GCA_036792855.1	1017599
GCA_008868065.1	5539940
GCA_009746265.1	5539940
GCA_018502045.1	2784749
GCA_018502005.1	2784749
GCA_018502025.1	2784749
GCA_018502065.1	2784749
GCA_013283115.1	3439089
GCA_013283465.1	3439089
GCA_900218025.1	4884413
GCA_003149145.1	4884413
GCA_010975045.1	4719885
GCA_024701165.1	4719885
GCA_001985365.1	4108484
GCA_001985625.1	4108484
GCA_004635085.1	4108484
GCA_004635585.1	4108483
GCA_004635305.1	4108481
GCA_001989015.1	4108480
GCA_001986735.1	4108479
GCA_004007415.1	4108479
GCA_002069155.1	4108478
GCA_002776745.1	1047716
GCA_002776795.1	1047716
GCA_025056745.1	2738233
GCA_033583655.1	2738233
GCA_003439395.1	6146539
GCA_902385395.1	6146539
GCA_015656165.1	1024112
GCA_904502205.1	1024112
GCA_000743895.1	3194687
GCA_001633285.1	3194687
GCA_013693985.1	4688958
GCA_016106075.1	4688958
GCA_949496585.1	2359916
GCA_949519375.1	2359916
GCA_019335305.1	3165344
GCA_019801825.1	3165344
GCA_019801885.1	3165344
GCA_002091615.1	5028176
GCA_028895395.1	5028176
GCA_902364525.1	4368209
GCA_003433755.1	4368209
GCA_035392745.1	3623088
GCA_036759045.1	3623088
GCA_029674865.1	5115942
GCA_029674885.1	5115942
GCA_029674905.1	5115942
GCA_004152505.1	2928270
GCA_022509555.1	2928270
GCA_015905005.1	1627684
GCA_017594855.1	1627684
GCA_900543515.1	2110577
GCA_902480045.1	2110577
GCA_000210855.2	5067450
GCA_000188735.1	5067451
GCA_036755705.1	1939656
GCA_035394485.1	1939656
GCA_026642415.1	901747
GCA_026642435.1	901747
GCA_011774415.1	2736368
GCA_011777375.1	2736368
GCA_004342205.1	5597816
GCA_963880805.1	5597816
GCA_025985485.1	5933411
GCA_000452605.3	5933410
GCA_900313535.1	1704834
GCA_902760275.1	1704834
GCA_022096855.1	2886057
GCA_023135215.1	2886057
GCA_000736535.1	4106896
GCA_963864025.1	4106896
GCA_902757015.1	1764549
GCA_900321905.1	1764549
GCA_002881255.1	1841945
GCA_002881215.1	1841943
GCA_024623445.1	5192010
GCA_024649665.1	5192010
GCA_003212925.1	1017047
GCA_902584595.1	1017047
GCA_005221865.1	5553168
GCA_005221665.1	5553169
GCA_004324355.1	1524262
GCA_009362415.1	1524262
GCA_015548605.1	1957832
GCA_039757415.1	1957832
GCA_003019925.1	5408082
GCA_902387975.1	5408082
GCA_949497165.1	2375465
GCA_949519395.1	2375465
GCA_900770075.1	2346376
GCA_902487285.1	2346376
GCA_001987335.1	4113693
GCA_900465925.1	4113685
GCA_000509425.1	6112248
GCA_001315105.1	6112248
GCA_020719285.1	1627623
GCA_020720025.1	1627622
GCA_020720295.1	1627620
GCA_020720445.1	1627619
GCA_020719435.1	1627618
GCA_013465595.1	1627624
GCA_013466015.1	1627623
GCA_013465795.1	1627622
GCA_013466235.1	1627620
GCA_009817055.1	1788698
GCA_009817915.1	1788702
GCA_024169855.1	5258504
GCA_024169885.1	5258496
GCA_900320455.1	2350890
GCA_902760085.1	2350890
GCA_900769995.1	1542153
GCA_902487165.1	1542153
GCA_029855265.1	4641806
GCA_026210695.1	4641811
GCA_000364765.1	1046341
GCA_000364785.1	1046341
GCA_900143365.1	3114862
GCA_900148545.1	3114862
GCA_019670345.1	5055998
GCA_019670285.1	5055996
GCA_002924425.1	2006235
GCA_002924325.1	2006240
GCA_026198195.1	5702840
GCA_037005705.1	5702840
GCA_036282925.1	2779656
GCA_036282775.1	2779660
GCA_023806595.1	3742337
GCA_031732915.1	3742337
GCA_900070205.1	2423295
GCA_001442855.1	2423295
GCA_036998085.1	5792155
GCA_026162265.1	5792155
GCA_900143475.1	2778343
GCA_900148685.1	2778343
GCA_002189605.1	3963196
GCA_004365825.1	3963196
GCA_015656465.1	1819053
GCA_904502055.1	1819053
GCA_015291905.1	5494304
GCA_015291925.1	5494304
GCA_036841985.1	1492311
GCA_035392865.1	1492311
GCA_029537415.1	4299854
GCA_005937795.2	4299846
GCA_016807315.1	1655909
GCA_021890055.1	1655909
GCA_004008975.1	4088701
GCA_001986025.1	4088698
GCA_004348775.1	5827786
GCA_963881975.1	5827786
GCA_002843345.1	4796048
GCA_963877245.1	4796048
GCA_900318475.1	2712506
GCA_902754965.1	2712506
GCA_001941585.1	3409143
GCA_019930765.1	3409142
GCA_009814485.1	1788623
GCA_009814965.1	1788625
GCA_000493315.1	6354192
GCA_963865155.1	6354192
GCA_900637675.1	2253416
GCA_029910475.1	2253418
GCA_000318765.1	1050130
GCA_000318665.1	1050127
GCA_002966535.1	1876981
GCA_900519455.1	1876981
GCA_011771415.1	3311811
GCA_011773795.1	3311811
GCA_001692615.1	4791397
GCA_001692515.1	4791396
GCA_013329905.1	1484247
GCA_003672175.1	1484247
GCA_041874635.1	2820462
GCA_000011265.1	2820462
GCA_000813475.1	4376717
GCA_963866875.1	4376717
GCA_035392925.1	1968708
GCA_036727755.1	1968708
GCA_035327285.1	2274144
GCA_036782935.1	2274144
GCA_016458845.1	1694669
GCA_017357025.1	1694668
GCA_011771345.1	3409282
GCA_011773695.1	3409282
GCA_902399915.1	2284659
GCA_003436735.1	2284659
GCA_902509075.1	6069016
GCA_963900235.1	6069016
GCA_902386325.1	5677722
GCA_000703485.1	5677722
GCA_018802225.1	3312578
GCA_902829265.1	3312578
GCA_001985805.1	4102205
GCA_001988695.1	4102202
GCA_001985105.1	4102201
GCA_001988095.1	4102201
GCA_001988255.1	4102201
GCA_004008955.1	4102199
GCA_004135035.1	2722586
GCA_016722985.1	2722586
GCA_003990305.1	4782590
GCA_963880915.1	4782590
GCA_022811005.1	6634623
GCA_022811045.1	6634620
GCA_022810945.1	6634619
GCA_022811065.1	6634619
GCA_003282485.1	1189654
GCA_902518445.1	1189654
GCA_900320325.1	2158211
GCA_902757785.1	2158211
GCA_949496475.1	2304328
GCA_949519445.1	2304328
GCA_902375395.1	4309569
GCA_000752035.1	4309569
GCA_900315655.1	2575445
GCA_902758425.1	2575445
GCA_009814935.1	1788911
GCA_009812525.1	1788908
GCA_036999825.1	5634182
GCA_026164105.1	5634182
GCA_030761875.1	3284935
GCA_030762435.1	3284927
GCA_900545745.1	1813301
GCA_902480115.1	1813301
GCA_902379005.2	2810675
GCA_000317915.1	2810675
GCA_001521695.2	6186545
GCA_007197955.1	6186545
GCA_900317075.1	1806492
GCA_902757195.1	1806492
GCA_035393525.1	1827765
GCA_036769735.1	1827765
GCA_002174215.1	2094755
GCA_028621815.1	2094755
